;group;user;task_id;percentage_tutorial;percentage_intermediate;percentage_advanced;attempts_per_puzzle;puzzle_difficulty;avg_complete_time;cum_this_puzzle_attempt;completed;timestamp;active_time;n_events;n_events_percentile1;n_events_percentile2;n_events_percentile3
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~1. One Box~1;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;1. One Box;0.0;0.0;0.0;0.0;2e-06;1.09;1;1.0;2019-09-09 13:29:29.964185-04:00;37.44;13.0;12.0;12.0;12.0
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~2. Separated Boxes~1;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;2. Separated Boxes;11.11;0.0;0.0;3.0;0.111127;1.69;1;1.0;2019-09-09 13:30:02.060673-04:00;72.36;14.0;8.0;11.0;13.0
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~3. Rotate a Pyramid~1;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;3. Rotate a Pyramid;22.22;0.0;0.0;2.0;0.083447;1.62;1;1.0;2019-09-09 13:31:08.104106-04:00;252.13;70.0;12.0;18.0;23.0
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~4. Match Silhouettes~1;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;4. Match Silhouettes;33.33;0.0;0.0;1.67;0.061887;2.13;1;0.0;2019-09-09 13:35:19.373383-04:00;304.14;126.0;18.0;34.0;46.0
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~3. Rotate a Pyramid~2;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;3. Rotate a Pyramid;33.33;0.0;0.0;2.0;0.083447;1.62;2;0.0;2019-09-09 13:40:23.421491-04:00;8.64;4.0;6.0;3.0;3.0
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~4. Match Silhouettes~2;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;4. Match Silhouettes;33.33;0.0;0.0;2.33;0.061887;2.13;2;0.0;2019-09-09 13:40:32.111635-04:00;24.23;10.0;12.0;9.0;9.0
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Sugar Cones~1;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Sugar Cones;33.33;0.0;0.0;2.67;0.085909;1.44;1;0.0;2019-09-09 13:40:56.260259-04:00;175.18;67.0;9.0;17.0;25.0
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Bear Market~1;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Bear Market;33.33;0.0;0.0;3.0;1.0;20.76;1;0.0;2019-09-09 13:43:51.554516-04:00;66.88;24.0;26.0;23.0;23.0
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~9. Scaling Round Objects~1;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;9. Scaling Round Objects;33.33;0.0;0.0;3.33;0.128647;2.57;1;0.0;2019-09-09 13:44:58.463226-04:00;197.41;68.0;14.0;28.0;42.0
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Bear Market~2;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Bear Market;33.33;0.0;0.0;3.67;1.0;20.76;2;0.0;2019-09-09 13:48:16.187492-04:00;566.64;222.0;130.0;221.0;221.0
