;group;user;task_id;puzzle_difficulty;avg_complete_time;cum_this_puzzle_attempt;completed;timestamp;active_time;n_events;n_events_percentile1;n_events_percentile2;n_events_percentile3;n_check_solution;n_breaks;n_snapshot;n_rotate_view;n_manipulation_events;time_failed_submission_exit;avg_time_between_submissions
7a01ab37bd2729626dcaf96166390315~9b5657ee770823fe25d1c7aeb56e6bf5~Orange Dance~5;7a01ab37bd2729626dcaf96166390315;9b5657ee770823fe25d1c7aeb56e6bf5;Orange Dance;0.647731;14.06;5;0.0;2019-09-18 08:06:12.371176-04:00;1258.98;762.0;117.0;243.0;368.0;10.0;6.0;0.0;274.0;266.0;662.31;120.54
7a01ab37bd2729626dcaf96166390315~9b5657ee770823fe25d1c7aeb56e6bf5~Bear Market~4;7a01ab37bd2729626dcaf96166390315;9b5657ee770823fe25d1c7aeb56e6bf5;Bear Market;1.0;20.76;4;0.0;2019-09-18 13:19:38.308168-04:00;8.89;6.0;8.0;5.0;5.0;0.0;0.0;0.0;0.0;0.0;NA;NA
7a01ab37bd2729626dcaf96166390315~9b5657ee770823fe25d1c7aeb56e6bf5~1. One Box~3;7a01ab37bd2729626dcaf96166390315;9b5657ee770823fe25d1c7aeb56e6bf5;1. One Box;2e-06;1.09;3;1.0;2019-09-18 13:16:13.548652-04:00;13.95;8.0;10.0;7.0;7.0;1.0;1.0;0.0;0.0;1.0;NA;8.85
7a01ab37bd2729626dcaf96166390315~9b5657ee770823fe25d1c7aeb56e6bf5~Orange Dance~6;7a01ab37bd2729626dcaf96166390315;9b5657ee770823fe25d1c7aeb56e6bf5;Orange Dance;0.647731;14.06;6;0.0;2019-09-18 13:16:29.606507-04:00;188.47;86.0;88.0;85.0;85.0;1.0;0.0;0.0;10.0;34.0;2.38;183.98
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~1. One Box~1;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;1. One Box;2e-06;1.09;1;1.0;2019-09-17 10:44:42.843890-04:00;20.18;8.0;10.0;7.0;7.0;1.0;0.0;0.0;0.0;1.0;NA;12.02
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~2. Separated Boxes~1;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;2. Separated Boxes;0.111127;1.69;1;1.0;2019-09-17 10:44:59.764315-04:00;78.14;42.0;15.0;29.0;41.0;3.0;0.0;0.0;0.0;17.0;NA;24.6
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~3. Rotate a Pyramid~1;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;3. Rotate a Pyramid;0.083447;1.62;1;1.0;2019-09-17 10:46:18.295676-04:00;29.33;19.0;18.0;18.0;18.0;1.0;0.0;0.0;0.0;7.0;NA;25.21
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~4. Match Silhouettes~1;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;4. Match Silhouettes;0.061887;2.13;1;1.0;2019-09-17 10:47:01.037841-04:00;59.86;18.0;16.0;17.0;17.0;1.0;2.0;0.0;0.0;8.0;NA;41.58
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~5. Removing Objects~1;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;5. Removing Objects;0.106021;2.89;1;1.0;2019-09-17 10:47:46.452497-04:00;165.88;86.0;18.0;37.0;67.0;5.0;0.0;0.0;8.0;34.0;NA;32.58
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~6. Stretch a Ramp~1;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;6. Stretch a Ramp;0.107035;2.43;1;1.0;2019-09-17 10:50:33.062921-04:00;52.39;24.0;15.0;23.0;23.0;2.0;0.0;0.0;0.0;14.0;NA;23.97
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~7. Max 2 Boxes~1;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;7. Max 2 Boxes;0.078039;1.63;1;1.0;2019-09-17 10:51:24.624619-04:00;21.25;13.0;15.0;12.0;12.0;1.0;0.0;0.0;0.0;5.0;NA;17.6
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~8. Combine 2 Ramps~1;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;8. Combine 2 Ramps;0.068608;2.02;1;1.0;2019-09-17 10:51:46.111251-04:00;79.06;59.0;24.0;44.0;58.0;2.0;0.0;0.0;24.0;18.0;NA;37.99
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~9. Scaling Round Objects~1;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;9. Scaling Round Objects;0.128647;2.57;1;1.0;2019-09-17 10:53:04.294822-04:00;410.4;412.0;54.0;95.0;134.0;3.0;1.0;3.0;31.0;257.0;NA;136.04
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Square Cross-Sections~1;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Square Cross-Sections;0.199714;3.2;1;0.0;2019-09-17 10:59:59.952920-04:00;829.36;799.0;33.0;73.0;113.0;27.0;3.0;4.0;382.0;214.0;812.16;32.56
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Bird Fez~1;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Bird Fez;0.156674;3.63;1;1.0;2019-09-17 11:15:08.038105-04:00;49.47;26.0;28.0;25.0;25.0;1.0;0.0;0.0;0.0;9.0;NA;44.16
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Pi Henge~1;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Pi Henge;0.067346;2.22;1;1.0;2019-09-17 11:15:56.732230-04:00;49.72;25.0;20.0;24.0;24.0;2.0;0.0;0.0;0.0;10.0;NA;22.96
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~45-Degree Rotations~1;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;45-Degree Rotations;0.096715;2.74;1;1.0;2019-09-17 11:16:46.391022-04:00;56.53;52.0;39.0;51.0;51.0;1.0;0.0;0.0;0.0;29.0;NA;52.1
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Pyramids are Strange~1;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Pyramids are Strange;0.1796;4.0;1;0.0;2019-09-17 11:17:42.352759-04:00;388.43;182.0;28.0;72.0;100.0;10.0;1.0;9.0;57.0;61.0;353.43;31.12
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Sugar Cones~1;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Sugar Cones;0.085909;1.44;1;1.0;2019-09-17 11:24:15.788307-04:00;67.81;43.0;19.0;38.0;42.0;2.0;0.0;0.0;0.0;25.0;NA;29.64
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Stranger Shapes~1;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Stranger Shapes;0.283971;4.31;1;1.0;2019-09-17 11:25:20.223475-04:00;122.19;63.0;44.0;62.0;62.0;5.0;0.0;3.0;8.0;20.0;NA;23.28
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Tall and Small~1;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Tall and Small;0.266869;4.44;1;0.0;2019-09-17 11:27:21.180280-04:00;157.54;91.0;38.0;61.0;61.0;4.0;1.0;6.0;2.0;37.0;1847.72;477.17
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Ramp Up and Can It~1;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Ramp Up and Can It;0.206271;2.7;1;0.0;2019-09-17 11:59:16.385499-04:00;41.79;21.0;23.0;20.0;20.0;1.0;0.0;0.0;0.0;5.0;3.98;35.47
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~More Than Meets Your Eye~1;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;More Than Meets Your Eye;0.192319;4.66;1;0.0;2019-09-17 11:59:58.142138-04:00;72.02;42.0;43.0;41.0;41.0;1.0;0.0;0.0;1.0;18.0;10.55;49.56
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~More Than Meets Your Eye~2;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;More Than Meets Your Eye;0.192319;4.66;2;0.0;2019-09-17 12:01:10.617364-04:00;5.24;4.0;6.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;NA;NA
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Not Bird~1;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Not Bird;0.260197;3.92;1;0.0;2019-09-17 12:01:15.202384-04:00;162.29;105.0;29.0;72.0;104.0;3.0;0.0;2.0;26.0;39.0;95.91;48.58
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Unnecessary~1;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Unnecessary;0.76;10.0;1;0.0;2019-09-17 12:03:57.510391-04:00;21.01;4.0;6.0;3.0;3.0;0.0;1.0;0.0;0.0;0.0;NA;NA
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Zzz~1;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Zzz;0.234035;2.82;1;0.0;2019-09-17 12:04:19.020786-04:00;7.54;4.0;6.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;NA;NA
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Bear Market~1;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Bear Market;1.0;20.76;1;0.0;2019-09-17 12:04:25.576205-04:00;161.35;101.0;103.0;100.0;100.0;2.0;0.0;6.0;20.0;34.0;10.52;77.12
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Sandbox~1;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Sandbox;1e-06;0.0;1;0.0;2019-09-17 12:07:11.159224-04:00;614.32;321.0;192.0;300.0;320.0;0.0;6.0;0.0;0.0;156.0;NA;NA
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Boxes Obscure Spheres~1;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Boxes Obscure Spheres;0.266198;4.97;1;0.0;2019-09-17 12:18:54.274193-04:00;83.38;35.0;37.0;34.0;34.0;3.0;0.0;1.0;1.0;8.0;35.77;23.58
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Zzz~2;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Zzz;0.234035;2.82;2;0.0;2019-09-17 12:20:15.997616-04:00;11.14;4.0;6.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;NA;NA
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Few Clues~1;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Few Clues;0.324041;5.26;1;0.0;2019-09-17 12:20:20.478751-04:00;4.7;4.0;6.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;NA;NA
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Orange Dance~1;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Orange Dance;0.647731;14.06;1;0.0;2019-09-17 12:20:26.073324-04:00;6.94;4.0;6.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;NA;NA
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Bull Market~1;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Bull Market;0.358579;7.9;1;0.0;2019-09-17 12:20:32.371852-04:00;36.48;4.0;6.0;3.0;3.0;0.0;1.0;0.0;0.0;0.0;NA;NA
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Sandbox~2;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Sandbox;1e-06;0.0;2;0.0;2019-09-17 12:21:12.116989-04:00;58.95;166.0;168.0;165.0;165.0;0.0;1.0;0.0;0.0;134.0;NA;NA
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Zzz~3;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Zzz;0.234035;2.82;3;0.0;2019-09-18 10:42:43.511439-04:00;117.87;68.0;13.0;42.0;67.0;2.0;2.0;0.0;24.0;12.0;23.43;50.51
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Few Clues~2;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Few Clues;0.324041;5.26;2;0.0;2019-09-18 10:44:43.677548-04:00;7.65;4.0;6.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;NA;NA
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Not Bird~2;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Not Bird;0.260197;3.92;2;0.0;2019-09-18 10:44:53.754558-04:00;284.72;128.0;37.0;66.0;90.0;5.0;1.0;5.0;12.0;44.0;193.35;40.35
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Orange Dance~2;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Orange Dance;0.647731;14.06;2;0.0;2019-09-18 10:49:40.565684-04:00;13.99;4.0;6.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;NA;NA
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Angled Silhouette~1;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Angled Silhouette;0.147673;2.21;1;0.0;2019-09-18 10:49:52.703048-04:00;8.48;4.0;6.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;NA;NA
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Square Cross-Sections~2;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Square Cross-Sections;0.199714;3.2;2;1.0;2019-09-18 10:49:57.638503-04:00;31.61;23.0;25.0;22.0;22.0;1.0;0.0;0.0;0.0;7.0;NA;28.32
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Pyramids are Strange~2;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Pyramids are Strange;0.1796;4.0;2;1.0;2019-09-18 10:50:29.778334-04:00;70.47;44.0;40.0;43.0;43.0;2.0;0.0;4.0;1.0;15.0;NA;33.63
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Boxes Obscure Spheres~2;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Boxes Obscure Spheres;0.266198;4.97;2;1.0;2019-09-18 10:51:41.543138-04:00;51.48;30.0;32.0;29.0;29.0;1.0;1.0;0.0;0.0;8.0;NA;31.91
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Object Limits~1;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Object Limits;0.257177;2.71;1;0.0;2019-09-18 10:52:39.971031-04:00;253.47;160.0;21.0;46.0;78.0;6.0;0.0;5.0;9.0;69.0;219.8;37.29
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Warm Up~1;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Warm Up;0.183971;0.93;1;1.0;2019-09-18 10:56:44.797594-04:00;25.65;21.0;13.0;20.0;20.0;1.0;0.0;0.0;0.0;6.0;NA;21.74
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Object Limits~2;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Object Limits;0.257177;2.71;2;0.0;2019-09-18 10:57:10.111674-04:00;11.77;9.0;11.0;8.0;8.0;0.0;0.0;0.0;0.0;0.0;NA;NA
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Angled Silhouette~2;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Angled Silhouette;0.147673;2.21;2;1.0;2019-09-18 10:57:22.022549-04:00;25.43;29.0;31.0;28.0;28.0;1.0;0.0;0.0;2.0;10.0;NA;22.58
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Tall and Small~2;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Tall and Small;0.266869;4.44;2;0.0;2019-09-18 10:57:46.733673-04:00;455.05;267.0;83.0;104.0;150.0;16.0;1.0;8.0;18.0;100.0;390.09;28.03
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Ramp Up and Can It~2;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Ramp Up and Can It;0.206271;2.7;2;0.0;2019-09-18 11:05:26.651339-04:00;32.29;14.0;16.0;13.0;13.0;0.0;0.0;0.0;0.0;3.0;NA;NA
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Ramp Up and Can It~3;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Ramp Up and Can It;0.206271;2.7;3;0.0;2019-09-18 11:05:56.455974-04:00;3.31;4.0;5.0;3.0;3.0;0.0;1.0;0.0;0.0;0.0;NA;NA
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~More Than Meets Your Eye~3;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;More Than Meets Your Eye;0.192319;4.66;3;0.0;2019-09-18 11:06:59.641642-04:00;34.53;16.0;18.0;15.0;15.0;0.0;0.0;0.0;0.0;4.0;NA;NA
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Unnecessary~2;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Unnecessary;0.76;10.0;2;1.0;2019-09-18 11:07:34.487749-04:00;407.94;174.0;174.0;127.0;59.0;14.0;1.0;11.0;52.0;51.0;NA;28.61
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Few Clues~3;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Few Clues;0.324041;5.26;3;0.0;2019-09-18 11:14:48.984211-04:00;38.11;4.0;6.0;3.0;3.0;0.0;1.0;0.0;0.0;0.0;NA;NA
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Orange Dance~3;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Orange Dance;0.647731;14.06;3;0.0;2019-09-18 11:14:59.035454-04:00;4.48;8.0;10.0;7.0;7.0;0.0;0.0;0.0;0.0;0.0;NA;NA
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Bear Market~2;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Bear Market;1.0;20.76;2;0.0;2019-09-18 11:15:03.545020-04:00;361.19;247.0;214.0;246.0;246.0;9.0;0.0;26.0;1.0;91.0;284.14;39.04
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Bull Market~2;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Bull Market;0.358579;7.9;2;0.0;2019-09-18 11:21:07.341608-04:00;55.41;4.0;6.0;3.0;3.0;0.0;1.0;0.0;0.0;0.0;NA;NA
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Object Limits~3;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Object Limits;0.257177;2.71;3;1.0;2019-09-18 11:22:07.629137-04:00;48.76;23.0;25.0;22.0;22.0;2.0;0.0;0.0;0.0;6.0;NA;18.9
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Ramp Up and Can It~4;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Ramp Up and Can It;0.206271;2.7;4;0.0;2019-09-18 11:23:13.630734-04:00;299.46;108.0;21.0;41.0;54.0;14.0;2.0;6.0;8.0;33.0;2200.51;162.24
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Sandbox~3;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Sandbox;1e-06;0.0;3;0.0;2019-09-18 12:01:21.932412-04:00;7.4;4.0;3.0;3.0;3.0;0.0;1.0;0.0;0.0;0.0;NA;NA
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Tall and Small~3;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Tall and Small;0.266869;4.44;3;0.0;2019-09-18 12:06:00.899979-04:00;154.29;101.0;72.0;100.0;100.0;4.0;1.0;0.0;0.0;56.0;24.08;28.4
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~1. One Box~2;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;1. One Box;2e-06;1.09;2;1.0;2019-09-18 12:07:59.561421-04:00;15.97;9.0;11.0;8.0;8.0;1.0;0.0;0.0;0.0;1.0;NA;9.17
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~2. Separated Boxes~2;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;2. Separated Boxes;0.111127;1.69;2;1.0;2019-09-18 12:08:14.070272-04:00;21.88;15.0;17.0;14.0;14.0;2.0;0.0;0.0;0.0;3.0;NA;8.39
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~More Than Meets Your Eye~4;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;More Than Meets Your Eye;0.192319;4.66;4;0.0;2019-09-18 12:15:49.210248-04:00;3.82;4.0;6.0;3.0;3.0;0.0;1.0;0.0;0.0;0.0;NA;NA
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Bull Market~3;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Bull Market;0.358579;7.9;3;0.0;2019-09-18 12:15:54.757725-04:00;3.05;4.0;6.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;NA;NA
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Zzz~4;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Zzz;0.234035;2.82;4;0.0;2019-09-18 12:15:58.756408-04:00;16.52;4.0;6.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;NA;NA
7a01ab37bd2729626dcaf96166390315~2da50872be7a811e24a1cdec9c227829~Orange Dance~4;7a01ab37bd2729626dcaf96166390315;2da50872be7a811e24a1cdec9c227829;Orange Dance;0.647731;14.06;4;0.0;2019-09-18 12:16:14.501465-04:00;425.36;463.0;42.0;183.0;462.0;0.0;3.0;0.0;0.0;430.0;NA;NA
7a01ab37bd2729626dcaf96166390315~70c2fe415227245dbd643fe14a70a22f~1. One Box~1;7a01ab37bd2729626dcaf96166390315;70c2fe415227245dbd643fe14a70a22f;1. One Box;2e-06;1.09;1;0.0;2019-09-17 10:44:58.628598-04:00;86.45;99.0;19.0;57.0;70.0;0.0;0.0;1.0;29.0;31.0;NA;NA
7a01ab37bd2729626dcaf96166390315~70c2fe415227245dbd643fe14a70a22f~7. Max 2 Boxes~1;7a01ab37bd2729626dcaf96166390315;70c2fe415227245dbd643fe14a70a22f;7. Max 2 Boxes;0.078039;1.63;1;0.0;2019-09-17 10:46:18.149337-04:00;18.29;6.0;8.0;5.0;5.0;0.0;0.0;0.0;0.0;1.0;NA;NA
7a01ab37bd2729626dcaf96166390315~70c2fe415227245dbd643fe14a70a22f~1. One Box~2;7a01ab37bd2729626dcaf96166390315;70c2fe415227245dbd643fe14a70a22f;1. One Box;2e-06;1.09;2;1.0;2019-09-17 10:46:33.135749-04:00;31.51;19.0;12.0;18.0;18.0;1.0;0.0;0.0;4.0;3.0;NA;26.47
7a01ab37bd2729626dcaf96166390315~70c2fe415227245dbd643fe14a70a22f~2. Separated Boxes~1;7a01ab37bd2729626dcaf96166390315;70c2fe415227245dbd643fe14a70a22f;2. Separated Boxes;0.111127;1.69;1;1.0;2019-09-17 10:47:06.268478-04:00;39.81;19.0;16.0;18.0;18.0;3.0;0.0;0.0;0.0;7.0;NA;11.55
7a01ab37bd2729626dcaf96166390315~70c2fe415227245dbd643fe14a70a22f~3. Rotate a Pyramid~1;7a01ab37bd2729626dcaf96166390315;70c2fe415227245dbd643fe14a70a22f;3. Rotate a Pyramid;0.083447;1.62;1;1.0;2019-09-17 10:47:44.045690-04:00;20.96;16.0;18.0;15.0;15.0;1.0;0.0;0.0;0.0;4.0;NA;18.76
7a01ab37bd2729626dcaf96166390315~70c2fe415227245dbd643fe14a70a22f~4. Match Silhouettes~1;7a01ab37bd2729626dcaf96166390315;70c2fe415227245dbd643fe14a70a22f;4. Match Silhouettes;0.061887;2.13;1;1.0;2019-09-17 10:48:05.877153-04:00;18.36;12.0;14.0;11.0;11.0;1.0;0.0;0.0;1.0;3.0;NA;15.62
7a01ab37bd2729626dcaf96166390315~70c2fe415227245dbd643fe14a70a22f~5. Removing Objects~1;7a01ab37bd2729626dcaf96166390315;70c2fe415227245dbd643fe14a70a22f;5. Removing Objects;0.106021;2.89;1;1.0;2019-09-17 10:48:24.255923-04:00;258.62;124.0;24.0;53.0;80.0;8.0;0.0;0.0;12.0;59.0;NA;31.54
7a01ab37bd2729626dcaf96166390315~70c2fe415227245dbd643fe14a70a22f~6. Stretch a Ramp~1;7a01ab37bd2729626dcaf96166390315;70c2fe415227245dbd643fe14a70a22f;6. Stretch a Ramp;0.107035;2.43;1;1.0;2019-09-17 10:52:43.334772-04:00;70.1;52.0;22.0;51.0;51.0;2.0;0.0;0.0;10.0;15.0;NA;33.1
7a01ab37bd2729626dcaf96166390315~70c2fe415227245dbd643fe14a70a22f~7. Max 2 Boxes~2;7a01ab37bd2729626dcaf96166390315;70c2fe415227245dbd643fe14a70a22f;7. Max 2 Boxes;0.078039;1.63;2;0.0;2019-09-17 10:53:52.382933-04:00;132.82;98.0;20.0;32.0;50.0;4.0;1.0;0.0;38.0;25.0;341.2;31.06
7a01ab37bd2729626dcaf96166390315~70c2fe415227245dbd643fe14a70a22f~8. Combine 2 Ramps~1;7a01ab37bd2729626dcaf96166390315;70c2fe415227245dbd643fe14a70a22f;8. Combine 2 Ramps;0.068608;2.02;1;0.0;2019-09-17 11:00:42.809048-04:00;65.49;46.0;35.0;44.0;45.0;1.0;0.0;0.0;28.0;6.0;1.51;59.07
