;group;user;task_id;puzzle_difficulty;avg_complete_time;cum_this_puzzle_attempt;completed;timestamp;active_time;n_events;n_events_percentile1;n_events_percentile2;n_events_percentile3;n_check_solution;n_breaks;n_snapshot;n_rotate_view;n_manipulation_events;time_failed_submission_exit;avg_time_between_submissions
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Pi Henge~1;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Pi Henge;0.067346;2.22;1;1.0;2019-09-09 14:16:07.487901-04:00;12.47;73.0;75.0;72.0;72.0;1.0;0.0;0.0;0.0;26.0;NA;11.87
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~45-Degree Rotations~1;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;45-Degree Rotations;0.096715;2.74;1;1.0;2019-09-09 14:16:19.943516-04:00;5.86;35.0;37.0;34.0;34.0;1.0;0.0;0.0;0.0;15.0;NA;5.28
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Pyramids are Strange~1;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Pyramids are Strange;0.1796;4.0;1;1.0;2019-09-09 14:16:25.811744-04:00;14.79;88.0;90.0;87.0;87.0;2.0;0.0;0.0;12.0;39.0;NA;6.23
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Boxes Obscure Spheres~1;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Boxes Obscure Spheres;0.266198;4.97;1;0.0;2019-09-09 14:16:40.587532-04:00;2.36;16.0;18.0;15.0;15.0;1.0;0.0;0.0;0.0;4.0;0.15;2.07
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Pyramids are Strange~2;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Pyramids are Strange;0.1796;4.0;2;1.0;2019-09-09 14:16:42.954154-04:00;13.65;60.0;62.0;59.0;59.0;1.0;0.0;0.0;2.0;28.0;NA;8.48
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Boxes Obscure Spheres~2;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Boxes Obscure Spheres;0.266198;4.97;2;0.0;2019-09-09 14:16:59.408999-04:00;59.8;4.0;6.0;3.0;3.0;0.0;1.0;0.0;0.0;0.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Boxes Obscure Spheres~3;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Boxes Obscure Spheres;0.266198;4.97;3;1.0;2019-09-10 13:27:16.295043-04:00;834.17;297.0;60.0;103.0;133.0;4.0;10.0;2.0;80.0;91.0;NA;199.03
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Object Limits~1;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Object Limits;0.257177;2.71;1;1.0;2019-09-10 13:40:39.894777-04:00;234.72;94.0;19.0;34.0;50.0;2.0;0.0;0.0;54.0;16.0;NA;112.49
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Object Limits~2;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Object Limits;0.257177;2.71;2;1.0;2019-09-10 13:44:34.784003-04:00;42.67;19.0;21.0;18.0;18.0;1.0;0.0;0.0;3.0;5.0;NA;32.94
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Tetromino~1;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Tetromino;0.226869;0.0;1;1.0;2019-09-10 13:46:08.981508-04:00;87.62;14.0;16.0;13.0;13.0;1.0;1.0;0.0;0.0;4.0;NA;28.77
