;id;time;type;data;session_id;group;user;group_user_id
405319;273568;2019-09-09 17:29:48.523360+00:00;ws-check_solution;"{""timeStamp"": 17.925884246826172, ""screenPos"": {""x"": 0.9156249761581421, ""y"": 0.06851851940155029}, ""actionIndex"": 4, ""user"": ""56ccce25ead834182d605eff319bfa2c"", ""group"": ""cb71040b5bd1341a34afc24961536ebd"", ""correct"": [true, true]}";kivrsjwpdh2g0zie19hpb2gf0tyj1ufy;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c
405320;273569;2019-09-09 17:29:48.668394+00:00;ws-puzzle_complete;"{""timeStamp"": 17.925884246826172, ""screenPos"": {""x"": 0.9156249761581421, ""y"": 0.06851851940155029}, ""actionIndex"": 5, ""user"": ""56ccce25ead834182d605eff319bfa2c"", ""group"": ""cb71040b5bd1341a34afc24961536ebd"", ""task_id"": ""1. One Box"", ""set_id"": ""None""}";kivrsjwpdh2g0zie19hpb2gf0tyj1ufy;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c
405322;273573;2019-09-09 17:29:52.192335+00:00;ws-exit_to_menu;"{""timeStamp"": 21.60407066345215, ""screenPos"": {""x"": 0.7250000238418579, ""y"": 0.2611111104488373}, ""actionIndex"": 6, ""user"": ""56ccce25ead834182d605eff319bfa2c"", ""group"": ""cb71040b5bd1341a34afc24961536ebd""}";kivrsjwpdh2g0zie19hpb2gf0tyj1ufy;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c
405331;273585;2019-09-09 17:30:02.060673+00:00;ws-start_level;"{""user"": ""56ccce25ead834182d605eff319bfa2c"", ""group"": ""cb71040b5bd1341a34afc24961536ebd"", ""task_id"": ""2. Separated Boxes"", ""set_id"": ""Basic"", ""fullscreen"": false, ""resolution"": {""x"": 960, ""y"": 540}, ""conditions"": ""{\""shapeLimits\"":[-1,2,0,0,0,0,0],\""allowScale\"":false,\""allowRotate\"":false,\""gridDim\"":4,\""tutorialData\"":[{\""conditionString\"":\""OnStart\"",\""conditionArg\"":0,\""objString\"":\""TutorialCard1\"",\""objectArg\"":\""Select the BOX at the bottom of the screen.\"",\""persistRuleString\"":\""TillGreaterThanXObjects\"",\""persistArg\"":0.0},{\""conditionString\"":\""OnEnterAddMode\"",\""conditionArg\"":0,\""objString\"":\""TutorialCard2\"",\""objectArg\"":\""Click on the GRID to place 2 boxes on top of each other.\"",\""persistRuleString\"":\""WhileLessThanXObjects\"",\""persistArg\"":2.0},{\""conditionString\"":\""OnEnterSelectMode\"",\""conditionArg\"":0,\""objString\"":\""TutorialCard3\"",\""objectArg\"":\""Select the BOX at the bottom of the screen.\"",\""persistRuleString\"":\""TillGreaterThanXObjects\"",\""persistArg\"":1.0},{\""conditionString\"":\""OnGreaterThanXObjects\"",\""conditionArg\"":1,\""objString\"":\""TutorialCard4\"",\""objectArg\"":\""Click the GREEN ARROWS to move a box slightly apart.\\n\\nThen click SUBMIT.\"",\""persistRuleString\"":\""WhileLessThanXObjects\"",\""persistArg\"":3.0},{\""conditionString\"":\""OnGreaterThanXObjects\"",\""conditionArg\"":0,\""objString\"":\""TutorialCard5\"",\""objectArg\"":\""Click SUBMIT to solve the puzzle.\"",\""persistRuleString\"":\""WhileLessThanXObjects\"",\""persistArg\"":2.0},{\""conditionString\"":\""OnGreaterThanXObjects\"",\""conditionArg\"":2,\""objString\"":\""TutorialCard6\"",\""objectArg\"":\""Click the TRASH CAN to delete objects.\"",\""persistRuleString\"":\""WhileGreaterThanXObjects\"",\""persistArg\"":2.0},{\""conditionString\"":\""OnEnterDeleteMode\"",\""conditionArg\"":0,\""objString\"":\""TutorialCard7\"",\""objectArg\"":\""Click on the object you want to delete.\"",\""persistRuleString\"":\""WhileGreaterThanXObjects\"",\""persistArg\"":2.0},{\""conditionString\"":\""OnEnterDeleteMode\"",\""conditionArg\"":0,\""objString\"":\""TutorialCard8\"",\""objectArg\"":\""Hold down SHIFT and click on objects you want to delete.\"",\""persistRuleString\"":\""WhileGreaterThanXObjects\"",\""persistArg\"":3.0},{\""conditionString\"":\""OnStart\"",\""conditionArg\"":0,\""objString\"":\""AddBox\"",\""objectArg\"":\""\"",\""persistRuleString\"":\""TillGreaterThanXObjects\"",\""persistArg\"":1.0},{\""conditionString\"":\""OnEnterAddMode\"",\""conditionArg\"":0,\""objString\"":\""Grid\"",\""objectArg\"":\""\"",\""persistRuleString\"":\""TillGreaterThanXObjects\"",\""persistArg\"":2.0},{\""conditionString\"":\""OnGreaterThanXObjects\"",\""conditionArg\"":2,\""objString\"":\""Delete\"",\""objectArg\"":\""\"",\""persistRuleString\"":\""WhileGreaterThanXObjects\"",\""persistArg\"":2.0},{\""conditionString\"":\""OnStart\"",\""conditionArg\"":0,\""objString\"":\""ShadowViewers\"",\""objectArg\"":\""\"",\""persistRuleString\"":\""TillGreaterThanXObjects\"",\""persistArg\"":0.0},{\""conditionString\"":\""OnEnterDeleteMode\"",\""conditionArg\"":0,\""objString\"":\""Grid\"",\""objectArg\"":\""\"",\""persistRuleString\"":\""WhileGreaterThanXObjects\"",\""persistArg\"":2.0}]}""}";kivrsjwpdh2g0zie19hpb2gf0tyj1ufy;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c
405332;273586;2019-09-09 17:30:02.612859+00:00;ws-puzzle_started;"{""timeStamp"": 0.0, ""screenPos"": {""x"": 0.5520833134651184, ""y"": 0.6185185313224792}, ""actionIndex"": 1, ""user"": ""56ccce25ead834182d605eff319bfa2c"", ""group"": ""cb71040b5bd1341a34afc24961536ebd"", ""task_id"": ""2. Separated Boxes"", ""set_id"": ""Basic""}";kivrsjwpdh2g0zie19hpb2gf0tyj1ufy;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c
405351;273609;2019-09-09 17:30:20.317765+00:00;ws-mode_change;"{""timeStamp"": 17.47163963317871, ""screenPos"": {""x"": 0.3687500059604645, ""y"": 0.04259259253740311}, ""actionIndex"": 2, ""user"": ""56ccce25ead834182d605eff319bfa2c"", ""group"": ""cb71040b5bd1341a34afc24961536ebd"", ""mode"": 3, ""prevMode"": 1, ""prevXfmMode"": 1, ""xfmMode"": 1, ""prevShape"": 6, ""shape"": 1, ""input"": ""LeftMouse""}";kivrsjwpdh2g0zie19hpb2gf0tyj1ufy;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c
405357;273615;2019-09-09 17:30:23.177673+00:00;ws-create_shape;"{""timeStamp"": 20.380155563354492, ""screenPos"": {""x"": 0.5104166865348816, ""y"": 0.4333333373069763}, ""actionIndex"": 3, ""user"": ""56ccce25ead834182d605eff319bfa2c"", ""group"": ""cb71040b5bd1341a34afc24961536ebd"", ""shapeType"": 1, ""objSerialization"": 1, ""spawnPosition"": {""x"": 4, ""y"": 0, ""z"": 4}, ""color"": 1, ""input"": ""LeftMouse"", ""changeMode"": true}";kivrsjwpdh2g0zie19hpb2gf0tyj1ufy;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c
405361;273620;2019-09-09 17:30:25.529152+00:00;ws-mode_change;"{""timeStamp"": 22.704639434814453, ""screenPos"": {""x"": 0.3479166626930237, ""y"": 0.031481482088565826}, ""actionIndex"": 4, ""user"": ""56ccce25ead834182d605eff319bfa2c"", ""group"": ""cb71040b5bd1341a34afc24961536ebd"", ""mode"": 3, ""prevMode"": 1, ""prevXfmMode"": 1, ""xfmMode"": 1, ""prevShape"": 1, ""shape"": 1, ""input"": ""LeftMouse""}";kivrsjwpdh2g0zie19hpb2gf0tyj1ufy;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c
405364;273624;2019-09-09 17:30:26.379956+00:00;ws-create_shape;"{""timeStamp"": 23.512344360351562, ""screenPos"": {""x"": 0.5270833373069763, ""y"": 0.22962963581085205}, ""actionIndex"": 5, ""user"": ""56ccce25ead834182d605eff319bfa2c"", ""group"": ""cb71040b5bd1341a34afc24961536ebd"", ""shapeType"": 1, ""objSerialization"": 2, ""spawnPosition"": {""x"": 4, ""y"": 0, ""z"": 0}, ""color"": 1, ""input"": ""LeftMouse"", ""changeMode"": true}";kivrsjwpdh2g0zie19hpb2gf0tyj1ufy;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c
405407;273668;2019-09-09 17:30:42.259474+00:00;ws-check_solution;"{""timeStamp"": 39.42223358154297, ""screenPos"": {""x"": 0.5729166865348816, ""y"": 0.2944444417953491}, ""actionIndex"": 6, ""user"": ""56ccce25ead834182d605eff319bfa2c"", ""group"": ""cb71040b5bd1341a34afc24961536ebd"", ""correct"": [false, true]}";kivrsjwpdh2g0zie19hpb2gf0tyj1ufy;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c
