;group;user;task_id;puzzle_difficulty;puzzle_category;n_attempts;completed;timestamp;active_time;percentileActiveTime;n_events;percentileEvents;n_check_solution;percentileAtt;percentileComposite;persistence;n_breaks;n_snapshot;n_rotate_view;n_manipulation_events;time_failed_submission_exit;avg_time_between_submissions
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~1. One Box;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;1. One Box;2,00E-06;Tutorial;1.0;1.0;2019-09-09 13:29:30.215461-04:00;33.92;40.89;12.0;49.07;1.0;100.0;44.98;NO_BEHAVIOR;1.0;0.0;0.0;1.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~2. Separated Boxes;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;2. Separated Boxes;0.111127;Tutorial;1.0;1.0;2019-09-09 13:30:02.612859-04:00;73.87;52.19;13.0;19.92;2.0;61.35;36.06;NO_BEHAVIOR;2.0;0.0;0.0;3.0;NA;29.89
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~3. Rotate a Pyramid;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;3. Rotate a Pyramid;0.083447;Tutorial;1.0;1.0;2019-09-09 13:31:08.542014-04:00;252.6;91.9;69.0;84.21;4.0;90.69;88.06;PRODUCTIVE_PERSISTANCE;3.0;0.0;0.0;38.0;NA;155.28
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~4. Match Silhouettes;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;4. Match Silhouettes;0.061887;Tutorial;3.0;1.0;2019-09-09 13:57:44.305751-04:00;403.92;90.0;163.0;91.25;2.0;78.75;90.62;PRODUCTIVE_PERSISTANCE;0.0;0.0;71.0;27.0;NA;29.19
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Sugar Cones;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Sugar Cones;0.085909;Advanced;2.0;1.0;2019-09-10 13:47:53.184424-04:00;391.97;99.11;157.0;98.21;2.0;89.29;98.66;PRODUCTIVE_PERSISTANCE;0.0;1.0;33.0;56.0;NA;103.09
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Bear Market;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Bear Market;1.0;Advanced;2.0;0.0;2019-09-09 13:48:19.011711-04:00;633.52;25.0;245.0;0.0;0.0;0.0;12.5;NO_BEHAVIOR;0.0;0.0;28.0;86.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~9. Scaling Round Objects;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;9. Scaling Round Objects;0.128647;Tutorial;2.0;1.0;2019-09-09 14:00:21.974185-04:00;558.33;98.3;205.0;94.32;2.0;68.18;96.31;PRODUCTIVE_PERSISTANCE;0.0;0.0;43.0;65.0;NA;174.56
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~8. Combine 2 Ramps;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;8. Combine 2 Ramps;0.068608;Tutorial;1.0;1.0;2019-09-09 13:58:57.800000-04:00;87.98;57.59;31.0;39.27;1.0;72.77;48.43;NO_BEHAVIOR;0.0;0.0;6.0;12.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Square Cross-Sections;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Square Cross-Sections;0.199714;Intermediate;1.0;1.0;2019-09-09 14:06:21.763356-04:00;413.73;83.44;163.0;80.13;3.0;68.21;81.79;PRODUCTIVE_PERSISTANCE;0.0;0.0;71.0;40.0;NA;214.48
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Bird Fez;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Bird Fez;0.156674;Intermediate;1.0;1.0;2019-09-09 14:15:59.833742-04:00;179.22;53.9;278.0;94.16;1.0;40.26;74.03;NO_BEHAVIOR;0.0;1.0;119.0;68.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Pi Henge;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Pi Henge;0.067346;Intermediate;1.0;1.0;2019-09-09 14:16:07.639984-04:00;12.48;0.65;72.0;73.38;1.0;64.29;37.01;NO_BEHAVIOR;0.0;0.0;0.0;26.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~45-Degree Rotations;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;45-Degree Rotations;0.096715;Intermediate;1.0;1.0;2019-09-09 14:16:20.090402-04:00;5.86;0.73;34.0;24.09;1.0;64.23;12.41;RAPID_SOLVER;0.0;0.0;0.0;15.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Pyramids are Strange;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Pyramids are Strange;0.1796;Intermediate;1.0;1.0;2019-09-09 14:16:26.966471-04:00;13.06;0.79;77.0;47.24;2.0;46.46;24.02;RAPID_SOLVER;0.0;0.0;2.0;39.0;NA;5.66
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Boxes Obscure Spheres;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Boxes Obscure Spheres;0.266198;Intermediate;3.0;1.0;2019-09-10 13:27:17.687579-04:00;909.47;93.2;314.0;91.26;5.0;64.08;92.23;PRODUCTIVE_PERSISTANCE;12.0;2.0;80.0;95.0;NA;330.6
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Object Limits;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Object Limits;0.257177;Intermediate;1.0;1.0;2019-09-10 13:40:42.438425-04:00;232.24;61.62;92.0;67.68;2.0;23.23;64.65;NO_BEHAVIOR;0.0;0.0;53.0;16.0;NA;111.21
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Tetromino;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Tetromino;0.226869;Advanced;1.0;1.0;2019-09-10 13:46:11.562683-04:00;31.17;20.0;13.0;20.0;1.0;100.0;20.0;RAPID_SOLVER;1.0;0.0;0.0;4.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Angled Silhouette;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Angled Silhouette;0.147673;Intermediate;1.0;1.0;2019-09-10 13:46:47.694253-04:00;64.44;45.45;25.0;31.31;1.0;61.62;38.38;NO_BEHAVIOR;0.0;0.0;0.0;9.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Stranger Shapes;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Stranger Shapes;0.283971;Advanced;1.0;1.0;2019-09-10 13:51:28.377870-04:00;117.79;14.46;60.0;21.69;1.0;6.02;18.07;RAPID_SOLVER;0.0;0.0;13.0;19.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Tall and Small;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Tall and Small;0.266869;Advanced;1.0;1.0;2019-09-10 13:53:23.466158-04:00;558.27;93.06;273.0;94.44;6.0;70.83;93.75;PRODUCTIVE_PERSISTANCE;2.0;3.0;125.0;58.0;NA;354.31
cb71040b5bd1341a34afc24961536ebd~56ccce25ead834182d605eff319bfa2c~Ramp Up and Can It;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Ramp Up and Can It;0.206271;Advanced;1.0;0.0;2019-09-10 14:02:47.156124-04:00;349.25;85.94;92.0;73.44;2.0;54.69;79.69;NO_BEHAVIOR;2.0;7.0;21.0;21.0;0;0
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~1. One Box;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;1. One Box;2,00E-06;Tutorial;1.0;1.0;2019-09-09 13:29:59.189222-04:00;35.16;42.75;11.0;46.1;1.0;100.0;44.42;NO_BEHAVIOR;1.0;0.0;0.0;1.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~2. Separated Boxes;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;2. Separated Boxes;0.111127;Tutorial;1.0;1.0;2019-09-09 13:30:33.226158-04:00;38.92;17.13;13.0;19.92;1.0;31.47;18.53;RAPID_SOLVER;0.0;0.0;0.0;3.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~3. Rotate a Pyramid;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;3. Rotate a Pyramid;0.083447;Tutorial;1.0;1.0;2019-09-09 13:31:11.875600-04:00;39.98;29.15;11.0;19.43;1.0;43.72;24.29;RAPID_SOLVER;1.0;0.0;0.0;2.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~4. Match Silhouettes;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;4. Match Silhouettes;0.061887;Tutorial;1.0;1.0;2019-09-09 13:31:48.967949-04:00;44.76;32.5;12.0;25.0;1.0;59.17;28.75;NO_BEHAVIOR;1.0;0.0;0.0;3.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~5. Removing Objects;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;5. Removing Objects;0.106021;Tutorial;1.0;1.0;2019-09-09 13:32:30.524498-04:00;446.73;88.74;165.0;86.94;3.0;77.93;87.84;PRODUCTIVE_PERSISTANCE;1.0;0.0;3.0;34.0;NA;289.42
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~6. Stretch a Ramp;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;6. Stretch a Ramp;0.107035;Tutorial;1.0;1.0;2019-09-09 13:39:59.234167-04:00;246.38;84.86;92.0;80.73;4.0;86.24;82.8;PRODUCTIVE_PERSISTANCE;0.0;1.0;3.0;31.0;NA;129.06
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~7. Max 2 Boxes;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;7. Max 2 Boxes;0.078039;Tutorial;1.0;1.0;2019-09-09 13:48:36.048888-04:00;305.68;91.83;104.0;86.54;2.0;82.69;89.18;PRODUCTIVE_PERSISTANCE;0.0;3.0;16.0;31.0;NA;12.37
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~8. Combine 2 Ramps;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;8. Combine 2 Ramps;0.068608;Tutorial;1.0;1.0;2019-09-09 13:49:11.618343-04:00;88.38;57.59;35.0;47.12;2.0;90.05;52.36;NO_BEHAVIOR;0.0;0.0;3.0;14.0;NA;38.74
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~9. Scaling Round Objects;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;9. Scaling Round Objects;0.128647;Tutorial;1.0;1.0;2019-09-09 13:50:39.511234-04:00;191.87;70.45;81.0;68.75;5.0;92.05;69.6;NO_BEHAVIOR;0.0;0.0;25.0;24.0;NA;90.16
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~Square Cross-Sections;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;Square Cross-Sections;0.199714;Intermediate;2.0;1.0;2019-09-09 14:06:28.039483-04:00;748.39;96.03;265.0;92.72;6.0;87.42;94.37;PRODUCTIVE_PERSISTANCE;2.0;0.0;20.0;48.0;NA;47.17
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~Bear Market;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;Bear Market;1.0;Advanced;1.0;0.0;2019-09-09 13:55:40.953077-04:00;10.22;0.0;5.0;0.0;0.0;0.0;0.0;NON_PERSISTANT;0.0;0.0;0.0;0.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~Bird Fez;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;Bird Fez;0.156674;Intermediate;1.0;1.0;2019-09-09 14:07:43.160538-04:00;152.04;46.1;57.0;40.26;5.0;83.77;43.18;NO_BEHAVIOR;0.0;0.0;2.0;19.0;NA;77.06
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~Pi Henge;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;Pi Henge;0.067346;Intermediate;1.0;1.0;2019-09-09 14:10:10.111475-04:00;106.39;53.25;42.0;46.1;1.0;64.29;49.68;NO_BEHAVIOR;0.0;0.0;0.0;16.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~45-Degree Rotations;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;45-Degree Rotations;0.096715;Intermediate;2.0;1.0;2019-09-09 21:05:27.170196-04:00;425.65;92.7;277.0;94.16;3.0;89.78;93.43;PRODUCTIVE_PERSISTANCE;5.0;0.0;94.0;79.0;NA;102.13
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~Pyramids are Strange;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;Pyramids are Strange;0.1796;Intermediate;1.0;1.0;2019-09-10 13:33:35.471847-04:00;79.95;14.96;36.0;9.45;1.0;32.28;12.2;RAPID_SOLVER;2.0;0.0;1.0;15.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2~Boxes Obscure Spheres;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;Boxes Obscure Spheres;0.266198;Intermediate;1.0;0.0;2019-11-07 15:14:09.586627-05:00;2111.97;98.06;941.0;99.03;4.0;57.28;98.54;UNPRODUCTIVE_PERSISTANCE;7.0;0.0;166.0;391.0;79.65;44.69
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~1. One Box;cb71040b5bd1341a34afc24961536ebd;bd6a63c5523e2eced8f2dc3bd2aaea5e;1. One Box;2,00E-06;Tutorial;1.0;1.0;2019-09-09 13:30:28.442455-04:00;61.8;65.06;34.0;83.27;1.0;100.0;74.16;NO_BEHAVIOR;0.0;0.0;0.0;21.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~2. Separated Boxes;cb71040b5bd1341a34afc24961536ebd;bd6a63c5523e2eced8f2dc3bd2aaea5e;2. Separated Boxes;0.111127;Tutorial;1.0;1.0;2019-09-09 13:31:01.571293-04:00;58.91;37.45;41.0;71.71;2.0;61.35;54.58;NO_BEHAVIOR;0.0;0.0;0.0;20.0;NA;24.84
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~3. Rotate a Pyramid;cb71040b5bd1341a34afc24961536ebd;bd6a63c5523e2eced8f2dc3bd2aaea5e;3. Rotate a Pyramid;0.083447;Tutorial;1.0;1.0;2019-09-09 13:32:55.847970-04:00;44.57;34.82;29.0;61.13;3.0;87.45;47.98;NO_BEHAVIOR;1.0;0.0;0.0;16.0;NA;27.12
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~4. Match Silhouettes;cb71040b5bd1341a34afc24961536ebd;bd6a63c5523e2eced8f2dc3bd2aaea5e;4. Match Silhouettes;0.061887;Tutorial;1.0;1.0;2019-09-09 13:34:41.530500-04:00;2.53;0.42;5.0;0.42;1.0;59.17;0.42;RAPID_SOLVER;1.0;0.0;0.0;0.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~5. Removing Objects;cb71040b5bd1341a34afc24961536ebd;bd6a63c5523e2eced8f2dc3bd2aaea5e;5. Removing Objects;0.106021;Tutorial;1.0;1.0;2019-09-09 13:37:38.070838-04:00;59.57;27.03;46.0;51.8;2.0;66.67;39.41;NO_BEHAVIOR;1.0;0.0;11.0;13.0;NA;27.25
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~6. Stretch a Ramp;cb71040b5bd1341a34afc24961536ebd;bd6a63c5523e2eced8f2dc3bd2aaea5e;6. Stretch a Ramp;0.107035;Tutorial;1.0;1.0;2019-09-09 13:43:53.922427-04:00;26.47;6.42;20.0;19.72;1.0;33.49;13.07;RAPID_SOLVER;1.0;0.0;9.0;3.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~7. Max 2 Boxes;cb71040b5bd1341a34afc24961536ebd;bd6a63c5523e2eced8f2dc3bd2aaea5e;7. Max 2 Boxes;0.078039;Tutorial;2.0;1.0;2019-09-09 14:03:28.884681-04:00;898.71;99.04;471.0;99.52;8.0;97.6;99.28;PRODUCTIVE_PERSISTANCE;1.0;4.0;84.0;96.0;NA;50.85
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~8. Combine 2 Ramps;cb71040b5bd1341a34afc24961536ebd;bd6a63c5523e2eced8f2dc3bd2aaea5e;8. Combine 2 Ramps;0.068608;Tutorial;1.0;1.0;2019-09-09 14:04:54.867458-04:00;67.51;41.36;29.0;32.98;1.0;72.77;37.17;NO_BEHAVIOR;0.0;0.0;1.0;14.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~9. Scaling Round Objects;cb71040b5bd1341a34afc24961536ebd;bd6a63c5523e2eced8f2dc3bd2aaea5e;9. Scaling Round Objects;0.128647;Tutorial;1.0;1.0;2019-09-09 14:06:03.122881-04:00;214.7;73.86;84.0;71.02;3.0;83.52;72.44;NO_BEHAVIOR;0.0;0.0;0.0;36.0;NA;131.29
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~Square Cross-Sections;cb71040b5bd1341a34afc24961536ebd;bd6a63c5523e2eced8f2dc3bd2aaea5e;Square Cross-Sections;0.199714;Intermediate;1.0;1.0;2019-09-10 13:41:20.361776-04:00;367.37;78.15;151.0;78.81;6.0;87.42;78.48;PRODUCTIVE_PERSISTANCE;2.0;0.0;5.0;71.0;NA;149.66
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~Bird Fez;cb71040b5bd1341a34afc24961536ebd;bd6a63c5523e2eced8f2dc3bd2aaea5e;Bird Fez;0.156674;Intermediate;1.0;1.0;2019-09-10 13:29:28.777502-04:00;199.09;59.74;72.0;51.95;3.0;69.48;55.84;NO_BEHAVIOR;5.0;0.0;5.0;30.0;NA;171.78
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~Pi Henge;cb71040b5bd1341a34afc24961536ebd;bd6a63c5523e2eced8f2dc3bd2aaea5e;Pi Henge;0.067346;Intermediate;1.0;1.0;2019-09-10 13:38:13.969696-04:00;72.09;32.47;28.0;11.04;1.0;64.29;21.75;RAPID_SOLVER;1.0;0.0;0.0;12.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~45-Degree Rotations;cb71040b5bd1341a34afc24961536ebd;bd6a63c5523e2eced8f2dc3bd2aaea5e;45-Degree Rotations;0.096715;Intermediate;1.0;1.0;2019-09-10 13:45:08.014878-04:00;175.08;72.26;65.0;60.58;2.0;81.02;66.42;NO_BEHAVIOR;0.0;0.0;0.0;37.0;NA;80.3
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~Pyramids are Strange;cb71040b5bd1341a34afc24961536ebd;bd6a63c5523e2eced8f2dc3bd2aaea5e;Pyramids are Strange;0.1796;Intermediate;1.0;1.0;2019-09-10 13:48:53.120670-04:00;306.97;74.02;61.0;34.65;3.0;65.35;54.33;NO_BEHAVIOR;5.0;2.0;2.0;21.0;NA;147.63
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~Boxes Obscure Spheres;cb71040b5bd1341a34afc24961536ebd;bd6a63c5523e2eced8f2dc3bd2aaea5e;Boxes Obscure Spheres;0.266198;Intermediate;1.0;0.0;2019-09-11 13:28:06.118631-04:00;742.42;90.29;215.0;77.67;16.0;92.23;83.98;NO_BEHAVIOR;20.0;5.0;22.0;80.0;84280.61;484.29
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~Object Limits;cb71040b5bd1341a34afc24961536ebd;bd6a63c5523e2eced8f2dc3bd2aaea5e;Object Limits;0.257177;Intermediate;1.0;0.0;2019-09-11 13:18:58.477435-04:00;287.07;75.76;49.0;43.43;6.0;76.77;59.6;NO_BEHAVIOR;6.0;1.0;8.0;18.0;174.72;164.88
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~Tetromino;cb71040b5bd1341a34afc24961536ebd;bd6a63c5523e2eced8f2dc3bd2aaea5e;Tetromino;0.226869;Advanced;1.0;1.0;2019-09-11 13:23:44.315676-04:00;41.68;40.0;16.0;40.0;1.0;100.0;40.0;NO_BEHAVIOR;1.0;0.0;0.0;6.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e~Angled Silhouette;cb71040b5bd1341a34afc24961536ebd;bd6a63c5523e2eced8f2dc3bd2aaea5e;Angled Silhouette;0.147673;Intermediate;1.0;0.0;2019-09-11 13:24:32.689711-04:00;205.06;80.81;84.0;82.83;1.0;61.62;81.82;NO_BEHAVIOR;3.0;0.0;11.0;36.0;18.01;NA
cb71040b5bd1341a34afc24961536ebd~5c5f8fb35c0db55cea793e0b85c01d19~1. One Box;cb71040b5bd1341a34afc24961536ebd;5c5f8fb35c0db55cea793e0b85c01d19;1. One Box;2,00E-06;Tutorial;1.0;1.0;2019-09-09 13:31:29.072809-04:00;125.97;91.45;27.0;75.46;1.0;100.0;83.46;PRODUCTIVE_PERSISTANCE;2.0;0.0;0.0;7.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~5c5f8fb35c0db55cea793e0b85c01d19~2. Separated Boxes;cb71040b5bd1341a34afc24961536ebd;5c5f8fb35c0db55cea793e0b85c01d19;2. Separated Boxes;0.111127;Tutorial;1.0;1.0;2019-09-09 13:32:14.081181-04:00;63.29;43.43;18.0;33.47;2.0;61.35;38.45;NO_BEHAVIOR;0.0;0.0;0.0;7.0;NA;25.34
cb71040b5bd1341a34afc24961536ebd~5c5f8fb35c0db55cea793e0b85c01d19~3. Rotate a Pyramid;cb71040b5bd1341a34afc24961536ebd;5c5f8fb35c0db55cea793e0b85c01d19;3. Rotate a Pyramid;0.083447;Tutorial;1.0;1.0;2019-09-09 13:33:24.095674-04:00;147.77;81.78;40.0;71.26;4.0;90.69;76.52;PRODUCTIVE_PERSISTANCE;1.0;0.0;0.0;25.0;NA;78.96
cb71040b5bd1341a34afc24961536ebd~5c5f8fb35c0db55cea793e0b85c01d19~4. Match Silhouettes;cb71040b5bd1341a34afc24961536ebd;5c5f8fb35c0db55cea793e0b85c01d19;4. Match Silhouettes;0.061887;Tutorial;1.0;1.0;2019-09-09 13:36:20.013912-04:00;68.66;49.17;24.0;51.67;1.0;59.17;50.42;NO_BEHAVIOR;0.0;0.0;0.0;7.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~5c5f8fb35c0db55cea793e0b85c01d19~5. Removing Objects;cb71040b5bd1341a34afc24961536ebd;5c5f8fb35c0db55cea793e0b85c01d19;5. Removing Objects;0.106021;Tutorial;1.0;1.0;2019-09-09 13:49:45.501327-04:00;812.2;98.2;213.0;92.79;5.0;87.84;95.5;PRODUCTIVE_PERSISTANCE;7.0;1.0;41.0;67.0;NA;180.88
cb71040b5bd1341a34afc24961536ebd~5c5f8fb35c0db55cea793e0b85c01d19~6. Stretch a Ramp;cb71040b5bd1341a34afc24961536ebd;5c5f8fb35c0db55cea793e0b85c01d19;6. Stretch a Ramp;0.107035;Tutorial;1.0;1.0;2019-09-09 13:51:57.832976-04:00;144.81;66.06;58.0;60.55;1.0;33.49;63.3;NO_BEHAVIOR;0.0;0.0;7.0;23.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~5c5f8fb35c0db55cea793e0b85c01d19~7. Max 2 Boxes;cb71040b5bd1341a34afc24961536ebd;5c5f8fb35c0db55cea793e0b85c01d19;7. Max 2 Boxes;0.078039;Tutorial;1.0;1.0;2019-09-09 13:52:46.775955-04:00;123.69;73.56;48.0;72.6;1.0;61.54;73.08;NO_BEHAVIOR;0.0;0.0;4.0;25.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~5c5f8fb35c0db55cea793e0b85c01d19~8. Combine 2 Ramps;cb71040b5bd1341a34afc24961536ebd;5c5f8fb35c0db55cea793e0b85c01d19;8. Combine 2 Ramps;0.068608;Tutorial;1.0;1.0;2019-09-09 13:54:51.781197-04:00;137.55;74.87;50.0;65.45;1.0;72.77;70.16;NO_BEHAVIOR;0.0;0.0;10.0;26.0;NA;NA
cb71040b5bd1341a34afc24961536ebd~5c5f8fb35c0db55cea793e0b85c01d19~9. Scaling Round Objects;cb71040b5bd1341a34afc24961536ebd;5c5f8fb35c0db55cea793e0b85c01d19;9. Scaling Round Objects;0.128647;Tutorial;1.0;1.0;2019-09-09 13:57:49.713769-04:00;256.02;81.25;98.0;76.7;2.0;68.18;78.98;PRODUCTIVE_PERSISTANCE;0.0;0.0;8.0;48.0;NA;102.51
cb71040b5bd1341a34afc24961536ebd~5c5f8fb35c0db55cea793e0b85c01d19~Square Cross-Sections;cb71040b5bd1341a34afc24961536ebd;5c5f8fb35c0db55cea793e0b85c01d19;Square Cross-Sections;0.199714;Intermediate;1.0;1.0;2019-09-09 14:04:01.574935-04:00;232.61;62.25;77.0;54.97;2.0;54.97;58.61;NO_BEHAVIOR;1.0;0.0;0.0;39.0;NA;33.18
cb71040b5bd1341a34afc24961536ebd~5c5f8fb35c0db55cea793e0b85c01d19~Bird Fez;cb71040b5bd1341a34afc24961536ebd;5c5f8fb35c0db55cea793e0b85c01d19;Bird Fez;0.156674;Intermediate;1.0;1.0;2019-09-09 14:05:18.580593-04:00;118.26;33.12;46.0;27.27;2.0;59.74;30.19;NO_BEHAVIOR;0.0;0.0;12.0;14.0;NA;53.64
