;group;user;task_id;cum_this_puzzle_attempt;timestamp;percentage_tutorial;percentage_intermediate;percentage_advanced;attempts_per_puzzle;user_elo;puzzle_elo;puzzle_difficulty;avg_complete_time;n_events;percentileEvents;n_check_solution;percentileAtt;n_breaks;n_manipulation_events;n_snapshot;n_rotate_view;completed;n_events_percentile1;n_events_percentile2;n_events_percentile3
e6af7d42084352a39449e6d0a09b18cd~10db62423210c1642e3d793303d2a081~Pi Henge~1;e6af7d42084352a39449e6d0a09b18cd;10db62423210c1642e3d793303d2a081;Pi Henge;1;2019-10-24 10:07:05.853719-04:00;77.78;0.0;0.0;1.86;0.0;1.46;0.067346;2.22;16.0;52.98;0.0;98.21;0.0;4.0;0.0;6.0;0.0;16.0;16.0;16.0
e6af7d42084352a39449e6d0a09b18cd~10db62423210c1642e3d793303d2a081~Bear Market~1;e6af7d42084352a39449e6d0a09b18cd;10db62423210c1642e3d793303d2a081;Bear Market;1;2019-10-24 10:48:57.120339-04:00;77.78;0.0;0.0;2.43;0.0;3.0;1.0;20.76;106.0;72.26;0.0;72.99;1.0;36.0;1.0;21.0;0.0;106.0;242.0;255.0
e6af7d42084352a39449e6d0a09b18cd~10db62423210c1642e3d793303d2a081~Angled Silhouette~1;e6af7d42084352a39449e6d0a09b18cd;10db62423210c1642e3d793303d2a081;Angled Silhouette;1;2019-10-25 13:00:45.460153-04:00;77.78;0.0;0.0;2.86;0.0;1.37;0.147673;2.21;6.0;21.52;0.0;89.24;2.0;0.0;0.0;0.0;0.0;6.0;67.0;134.0
e6af7d42084352a39449e6d0a09b18cd~10db62423210c1642e3d793303d2a081~7. Max 2 Boxes~2;e6af7d42084352a39449e6d0a09b18cd;10db62423210c1642e3d793303d2a081;7. Max 2 Boxes;2;2019-10-25 13:02:33.520301-04:00;77.78;0.0;0.0;3.14;0.0;0.62;0.078039;1.63;17.0;94.74;0.0;74.09;0.0;3.0;0.0;3.0;1.0;17.0;26.0;29.0
e6af7d42084352a39449e6d0a09b18cd~10db62423210c1642e3d793303d2a081~Square Cross-Sections~2;e6af7d42084352a39449e6d0a09b18cd;10db62423210c1642e3d793303d2a081;Square Cross-Sections;2;2019-10-25 13:04:37.622535-04:00;88.89;0.0;0.0;3.0;0.0;1.02;0.199714;3.2;18.0;50.22;0.0;70.48;1.0;5.0;0.0;0.0;0.0;18.0;39.0;49.0
e6af7d42084352a39449e6d0a09b18cd~10db62423210c1642e3d793303d2a081~Warm Up~1;e6af7d42084352a39449e6d0a09b18cd;10db62423210c1642e3d793303d2a081;Warm Up;1;2019-10-25 13:08:58.830869-04:00;88.89;0.0;0.0;3.12;0.0;0.58;0.183971;0.93;6.0;47.2;0.0;100.0;0.0;1.0;0.0;0.0;1.0;6.0;12.0;18.0
e6af7d42084352a39449e6d0a09b18cd~10db62423210c1642e3d793303d2a081~45-Degree Rotations~1;e6af7d42084352a39449e6d0a09b18cd;10db62423210c1642e3d793303d2a081;45-Degree Rotations;1;2019-10-25 13:09:42.309380-04:00;88.89;0.0;7.69;2.6;0.12;0.77;0.096715;2.74;18.0;56.02;0.0;95.78;0.0;5.0;0.0;0.0;1.0;18.0;40.0;41.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~1. One Box~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;1. One Box;1;2019-10-23 13:10:05.094066-04:00;0.0;0.0;0.0;0.0;0.0;0.0;2e-06;1.09;7.0;83.0;0.0;90.33;0.0;0.0;0.0;0.0;1.0;7.0;8.0;23.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~2. Separated Boxes~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;2. Separated Boxes;1;2019-10-23 13:12:03.911763-04:00;11.11;0.0;0.0;1.0;0.0;0.14;0.111127;1.69;3.0;3.6;0.0;67.63;0.0;0.0;0.0;0.0;1.0;3.0;9.0;14.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~3. Rotate a Pyramid~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;3. Rotate a Pyramid;1;2019-10-23 13:13:21.359373-04:00;22.22;0.0;0.0;1.0;0.0;0.29;0.083447;1.62;3.0;6.93;0.0;73.72;1.0;0.0;0.0;0.0;1.0;3.0;6.0;14.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~4. Match Silhouettes~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;4. Match Silhouettes;1;2019-10-23 13:14:16.791967-04:00;33.33;0.0;0.0;1.0;0.0;0.51;0.061887;2.13;11.0;55.22;0.0;70.9;0.0;2.0;0.0;0.0;1.0;11.0;23.0;25.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~5. Removing Objects~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;5. Removing Objects;1;2019-10-23 13:16:40.642590-04:00;44.44;0.0;0.0;1.0;0.0;0.59;0.106021;2.89;10.0;19.55;1.0;97.74;1.0;2.0;0.0;0.0;1.0;10.0;10.0;10.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~6. Stretch a Ramp~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;6. Stretch a Ramp;1;2019-10-23 13:17:17.630314-04:00;55.56;0.0;0.0;1.0;0.0;0.53;0.107035;2.43;10.0;15.16;1.0;97.13;0.0;3.0;0.0;1.0;1.0;10.0;13.0;13.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~7. Max 2 Boxes~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;7. Max 2 Boxes;1;2019-10-23 13:17:57.747873-04:00;66.67;0.0;0.0;1.0;0.0;0.72;0.078039;1.63;8.0;25.51;0.0;74.09;0.0;3.0;0.0;0.0;1.0;8.0;18.0;24.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~8. Combine 2 Ramps~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;8. Combine 2 Ramps;1;2019-10-23 13:19:14.516245-04:00;77.78;0.0;0.0;1.0;0.0;0.71;0.068608;2.02;5.0;8.14;0.0;90.5;1.0;1.0;0.0;0.0;1.0;5.0;20.0;24.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~9. Scaling Round Objects~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;9. Scaling Round Objects;1;2019-10-23 13:20:05.965043-04:00;88.89;0.0;0.0;1.0;0.0;0.71;0.128647;2.57;19.0;70.37;0.0;76.39;0.0;4.0;0.0;2.0;1.0;19.0;24.0;24.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~Square Cross-Sections~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;Square Cross-Sections;1;2019-10-23 13:20:52.059524-04:00;100.0;0.0;0.0;1.0;0.0;1.24;0.199714;3.2;19.0;59.91;1.0;98.24;1.0;6.0;0.0;2.0;1.0;19.0;43.0;43.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~Bird Fez~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;Bird Fez;1;2019-10-23 13:23:42.745469-04:00;100.0;11.11;0.0;1.0;0.18;1.9;0.156674;3.63;32.0;86.45;1.0;98.13;0.0;10.0;0.0;4.0;1.0;32.0;34.0;34.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~Pi Henge~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;Pi Henge;1;2019-10-23 13:24:58.113069-04:00;100.0;22.22;0.0;1.0;0.52;1.52;0.067346;2.22;17.0;61.9;0.0;98.21;0.0;6.0;0.0;0.0;1.0;17.0;27.0;28.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~45-Degree Rotations~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;45-Degree Rotations;1;2019-10-23 13:26:22.574717-04:00;100.0;33.33;0.0;1.0;0.77;0.99;0.096715;2.74;3.0;4.22;0.0;95.78;0.0;0.0;0.0;0.0;1.0;3.0;30.0;59.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~Pyramids are Strange~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;Pyramids are Strange;1;2019-10-23 13:32:09.806623-04:00;100.0;44.44;0.0;1.0;0.89;1.57;0.1796;4.0;3.0;1.05;0.0;79.58;1.0;0.0;0.0;0.0;1.0;3.0;25.0;62.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~Boxes Obscure Spheres~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;Boxes Obscure Spheres;1;2019-10-23 13:44:55.377213-04:00;100.0;55.56;0.0;1.0;1.07;2.28;0.266198;4.97;33.0;76.17;1.0;77.72;1.0;16.0;0.0;1.0;1.0;33.0;77.0;105.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~Object Limits~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;Object Limits;1;2019-10-23 13:52:02.275978-04:00;100.0;66.67;0.0;1.0;1.31;1.79;0.257177;2.71;21.0;87.06;1.0;83.53;0.0;7.0;0.0;4.0;1.0;21.0;28.0;29.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~Warm Up~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;Warm Up;1;2019-10-23 13:53:38.158728-04:00;100.0;77.78;0.0;1.0;1.5;0.84;0.183971;0.93;6.0;47.2;0.0;100.0;0.0;2.0;0.0;0.0;1.0;6.0;14.0;17.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~Angled Silhouette~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;Angled Silhouette;1;2019-10-23 13:54:08.996290-04:00;100.0;77.78;7.69;1.0;1.6;1.61;0.147673;2.21;12.0;39.87;1.0;100.0;0.0;4.0;0.0;0.0;1.0;12.0;18.0;37.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~Sugar Cones~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;Sugar Cones;1;2019-10-23 13:58:06.425197-04:00;100.0;88.89;7.69;1.0;1.75;1.14;0.085909;1.44;11.0;69.17;0.0;98.5;0.0;4.0;0.0;0.0;1.0;11.0;23.0;23.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~Stranger Shapes~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;Stranger Shapes;1;2019-10-25 09:04:35.573219-04:00;100.0;88.89;15.38;1.11;1.81;1.8;0.283971;4.31;47.0;96.58;2.0;99.32;0.0;15.0;0.0;1.0;1.0;47.0;75.0;94.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~Bull Market~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;Bull Market;1;2019-10-25 09:04:29.102575-04:00;100.0;88.89;15.38;1.05;1.81;3.08;0.358579;7.9;4.0;25.56;0.0;85.56;1.0;0.0;0.0;0.0;0.0;4.0;4.0;4.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~Tall and Small~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;Tall and Small;1;2019-10-25 09:08:49.408266-04:00;100.0;88.89;23.08;1.05;1.97;1.87;0.266869;4.44;44.0;95.8;1.0;92.44;0.0;19.0;0.0;7.0;1.0;44.0;73.0;94.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~Ramp Up and Can It~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;Ramp Up and Can It;1;2019-10-25 09:13:34.116531-04:00;100.0;88.89;30.77;1.0;2.13;1.86;0.206271;2.7;11.0;43.86;0.0;75.44;1.0;2.0;0.0;0.0;1.0;11.0;22.0;30.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~More Than Meets Your Eye~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;More Than Meets Your Eye;1;2019-10-25 09:15:15.311890-04:00;100.0;88.89;38.46;1.0;2.28;1.28;0.192319;4.66;27.0;35.64;0.0;91.09;1.0;12.0;0.0;1.0;1.0;27.0;44.0;70.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~Not Bird~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;Not Bird;1;2019-10-25 09:19:37.866243-04:00;100.0;88.89;46.15;1.0;2.38;2.28;0.260197;3.92;41.0;96.72;0.0;62.3;0.0;12.0;0.0;3.0;1.0;41.0;55.0;55.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~Unnecessary~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;Unnecessary;1;2019-10-25 09:21:18.844455-04:00;100.0;100.0;46.15;1.0;2.56;1.87;0.76;10.0;45.0;58.95;4.0;92.63;2.0;9.0;0.0;11.0;1.0;45.0;45.0;45.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~Zzz~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;Zzz;1;2019-10-25 09:24:07.208903-04:00;100.0;100.0;53.85;0.96;2.7;1.93;0.234035;2.82;27.0;86.36;0.0;88.64;0.0;10.0;0.0;1.0;1.0;27.0;49.0;70.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~Bull Market~2;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;Bull Market;2;2019-10-25 09:27:13.449984-04:00;100.0;100.0;61.54;0.97;2.84;3.08;0.358579;7.9;23.0;35.56;0.0;85.56;3.0;8.0;0.0;3.0;1.0;23.0;83.0;164.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~Few Clues~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;Few Clues;1;2019-10-25 09:39:53.364773-04:00;100.0;100.0;69.23;0.97;3.29;1.98;0.324041;5.26;48.0;81.4;0.0;96.51;1.0;20.0;3.0;1.0;1.0;48.0;89.0;141.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~Orange Dance~1;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;Orange Dance;1;2019-10-25 09:46:47.424214-04:00;100.0;100.0;76.92;1.0;3.42;2.48;0.647731;14.06;116.0;73.96;0.0;93.75;2.0;59.0;7.0;4.0;0.0;116.0;253.0;253.0
e6af7d42084352a39449e6d0a09b18cd~0d35fa2868a21199e36b159b49ae6aad~Orange Dance~2;e6af7d42084352a39449e6d0a09b18cd;0d35fa2868a21199e36b159b49ae6aad;Orange Dance;2;2019-10-25 09:54:34.639169-04:00;100.0;100.0;76.92;1.03;3.42;2.47;0.647731;14.06;56.0;56.25;0.0;93.75;2.0;22.0;2.0;2.0;0.0;56.0;56.0;56.0
