;param_algorithm;param_n_neighbors;param_p;param_weights;mean_test_score;std_test_score;mean_train_score;std_train_score
17;ball_tree;3;1;distance;0.7000001357356859;0.03750923644801124;0.999699827148841;0.00010056884886122964
1;auto;3;1;distance;0.7000001357356859;0.03750923644801124;0.999699827148841;0.00010056884886122964
33;kd_tree;3;1;distance;0.7000001357356859;0.03750923644801124;0.999699827148841;0.00010056884886122964
0;auto;3;1;uniform;0.699005356514554;0.043052655828250255;0.8469799340865933;0.0049641185822673186
23;ball_tree;5;2;distance;0.6989104214208001;0.05461586986457208;0.999699827148841;0.00010056884886122964
7;auto;5;2;distance;0.6989104214208001;0.05461586986457208;0.999699827148841;0.00010056884886122964
39;kd_tree;5;2;distance;0.6989104214208001;0.05461586986457208;0.999699827148841;0.00010056884886122964
16;ball_tree;3;1;uniform;0.6985743220317955;0.04294979303088844;0.8469745313567032;0.005118122540228714
32;kd_tree;3;1;uniform;0.6985743220317955;0.04294979303088844;0.847122692272379;0.005139455271053828
9;auto;7;1;distance;0.697497489428567;0.05767766667016224;0.999699827148841;0.00010056884886122964
41;kd_tree;7;1;distance;0.6972449641760418;0.057406068063100925;0.999699827148841;0.00010056884886122964
35;kd_tree;3;2;distance;0.6971447779731131;0.03874332248516364;0.999699827148841;0.00010056884886122964
19;ball_tree;3;2;distance;0.6971447779731131;0.03874332248516364;0.999699827148841;0.00010056884886122964
3;auto;3;2;distance;0.6971447779731131;0.03874332248516364;0.999699827148841;0.00010056884886122964
25;ball_tree;7;1;distance;0.6970664549458084;0.05779044982486871;0.999699827148841;0.00010056884886122964
5;auto;5;1;distance;0.6965774870625687;0.04272360095790064;0.999699827148841;0.00010056884886122964
21;ball_tree;5;1;distance;0.6965774870625687;0.04272360095790064;0.999699827148841;0.00010056884886122964
13;auto;9;1;distance;0.6964927801140142;0.05392610054140301;0.999699827148841;0.00010056884886122964
29;ball_tree;9;1;distance;0.6964927801140142;0.05392610054140301;0.999699827148841;0.00010056884886122964
45;kd_tree;9;1;distance;0.6964927801140142;0.05392610054140301;0.999699827148841;0.00010056884886122964
37;kd_tree;5;1;distance;0.6962419165927701;0.0425768118003878;0.999699827148841;0.00010056884886122964
43;kd_tree;7;2;distance;0.693956129238558;0.05802972293718521;0.999699827148841;0.00010056884886122964
11;auto;7;2;distance;0.693956129238558;0.05802972293718521;0.999699827148841;0.00010056884886122964
27;ball_tree;7;2;distance;0.693956129238558;0.05802972293718521;0.999699827148841;0.00010056884886122964
2;auto;3;2;uniform;0.6931117001390239;0.04371120037230345;0.848806143475491;0.00470662047492614
34;kd_tree;3;2;uniform;0.6931117001390239;0.04371120037230345;0.848806143475491;0.00470662047492614
18;ball_tree;3;2;uniform;0.6931117001390239;0.04371120037230345;0.848806143475491;0.00470662047492614
20;ball_tree;5;1;uniform;0.6929373506326153;0.0517731760611081;0.8139162420313172;0.006535307973665675
4;auto;5;1;uniform;0.6929373506326153;0.0517731760611081;0.8136146734217501;0.006070674291290136
36;kd_tree;5;1;uniform;0.6926017801628166;0.051628456679880995;0.8135463487980964;0.006221610718085644
22;ball_tree;5;2;uniform;0.6924696215626843;0.05983106393256243;0.8066101255033583;0.005543915805569312
38;kd_tree;5;2;uniform;0.6924696215626843;0.05983106393256243;0.8066101255033583;0.005543915805569312
6;auto;5;2;uniform;0.6924696215626843;0.05983106393256243;0.8066101255033583;0.005543915805569312
40;kd_tree;7;1;uniform;0.6917420110940998;0.06929493636517431;0.7925010475993348;0.006296790606387275
8;auto;7;1;uniform;0.6914894858415745;0.07056258002804279;0.7922282019778127;0.006263406969502712
47;kd_tree;9;2;distance;0.6912624556957817;0.05984085169605243;0.999699827148841;0.00010056884886122964
31;ball_tree;9;2;distance;0.6912624556957817;0.05984085169605243;0.999699827148841;0.00010056884886122964
15;auto;9;2;distance;0.6912624556957817;0.05984085169605243;0.999699827148841;0.00010056884886122964
24;ball_tree;7;1;uniform;0.6910584513588159;0.07050197122016977;0.7922211949607576;0.006272955952545073
28;ball_tree;9;1;uniform;0.6892013289713993;0.06563749127087383;0.7769750309980172;0.0059029288847706595
12;auto;9;1;uniform;0.6892013289713993;0.06563749127087383;0.7769142776565835;0.005854901312351537
44;kd_tree;9;1;uniform;0.6892013289713993;0.06563749127087383;0.7764828599950581;0.005614186295229213
26;ball_tree;7;2;uniform;0.6864363411157385;0.06731708440359248;0.784347830083165;0.004937259676337324
42;kd_tree;7;2;uniform;0.6864363411157385;0.06731708440359248;0.7844148542118512;0.0048010312488118365
10;auto;7;2;uniform;0.6864363411157385;0.06731708440359248;0.784347830083165;0.004937259676337324
30;ball_tree;9;2;uniform;0.6816002136168441;0.07451539296373284;0.7732119889709569;0.00600296446398513
14;auto;9;2;uniform;0.6816002136168441;0.07451539296373284;0.7730931636202316;0.005883094332613734
46;kd_tree;9;2;uniform;0.6816002136168441;0.07451539296373284;0.7732261712969255;0.0057818463587788775
