;param_algorithm;param_learning_rate;param_n_estimators;mean_test_score;std_test_score;mean_train_score;std_train_score
28;SAMME.R;1.0;50;0.7789303578997605;0.04217154288621563;0.8283314719440285;0.005524283324796989
27;SAMME.R;0.1;500;0.7740007211683634;0.05922088520944981;0.83335321482901;0.0058097001196213425
15;SAMME;1.0;500;0.7739582758463455;0.06273010618138732;0.8257509517997967;0.003855584697803479
29;SAMME.R;1.0;100;0.7731806296531741;0.048392884195516996;0.8386363029171863;0.0048107181048218425
30;SAMME.R;1.0;200;0.7665039753628449;0.057981493449920304;0.8468074153786098;0.00463341488022191
26;SAMME.R;0.1;200;0.7664606885550134;0.06005874362056817;0.8167317413716082;0.006454700407651694
31;SAMME.R;1.0;500;0.7655422192930145;0.04939603852142532;0.8613965700575854;0.003364721636719142
14;SAMME;1.0;200;0.762528481602214;0.05513144862360852;0.8150835368404985;0.009898087400151577
13;SAMME;1.0;100;0.7513652488827679;0.05221904045443649;0.8055472873203116;0.008445145439325362
25;SAMME.R;0.1;100;0.7496974994339347;0.06468639379722296;0.800633725236238;0.007671442752459966
12;SAMME;1.0;50;0.7388909440500527;0.06093256277017555;0.7908339307771513;0.009056831695871452
11;SAMME;0.1;500;0.737438156423069;0.0677312026721592;0.7878842845517694;0.00745646236333757
24;SAMME.R;0.1;50;0.7357603301487179;0.06954540014113914;0.7901829096884386;0.008823249560393532
23;SAMME.R;0.01;500;0.7347658566499605;0.07096216400092265;0.7884311482691408;0.008741594868153667
10;SAMME;0.1;200;0.7085965780260598;0.06778115637155468;0.765281285830356;0.012181668947428132
22;SAMME.R;0.01;200;0.7030890260080586;0.068733951795047;0.7542062797927546;0.009590344309695
9;SAMME;0.1;100;0.7009036595403763;0.06690283267346907;0.752674371130601;0.009385697361624389
21;SAMME.R;0.01;100;0.6946902791202566;0.06683798291998092;0.743097165084025;0.006734637168900782
8;SAMME;0.1;50;0.6869951596080652;0.05897149225353074;0.742480489001024;0.018956093454210746
7;SAMME;0.01;500;0.6862252898607;0.05498217642569835;0.7366605555806863;0.023027330807179065
20;SAMME.R;0.01;50;0.6847601474850288;0.06144554345850444;0.737781279468974;0.009216690802458965
19;SAMME.R;0.001;500;0.6833241327436386;0.06299419789790454;0.7374772308961972;0.009313299045248665
18;SAMME.R;0.001;200;0.653844175207611;0.06392643806391914;0.7232817311501342;0.027533087303790248
6;SAMME;0.01;200;0.6430957446676466;0.062250384728394476;0.7003335692724966;0.04180545981238017
5;SAMME;0.01;100;0.6300912177613427;0.05205676885461926;0.6925523785332943;0.04187790163264929
17;SAMME.R;0.001;100;0.6226406824145319;0.0687299525812095;0.7026468588305882;0.032859181276355266
16;SAMME.R;0.001;50;0.6221143666250579;0.06793287335597366;0.702265227747126;0.03251068282807955
4;SAMME;0.01;50;0.6189939493966325;0.06196809772695648;0.687623159848777;0.03701769414779185
3;SAMME;0.001;500;0.6189939493966325;0.06196809772695648;0.687623159848777;0.03701769414779185
2;SAMME;0.001;200;0.6101306718308306;0.048873920262540275;0.6903770163792394;0.034173115771841144
1;SAMME;0.001;100;0.5980664940375795;0.05626027199528986;0.6844768653264067;0.029938511068426155
0;SAMME;0.001;50;0.5969055763036282;0.05486552302678414;0.6813009799258642;0.02902630516237607
