;param_algorithm;param_base_estimator;param_learning_rate;param_n_estimators;param_random_state;mean_test_score;std_test_score;mean_train_score;std_train_score
7;SAMME;DecisionTreeClassifier(max_depth=1);1.0;100;42;0.7253454594283538;0.05512189831093278;0.7636103959479336;0.011823732904671879
8;SAMME;DecisionTreeClassifier(max_depth=1);1.0;200;42;0.7250826148749001;0.05392387700907917;0.767205014919778;0.008560250567791942
25;SAMME.R;DecisionTreeClassifier(max_depth=1);1.0;100;42;0.7241333987643099;0.060348567628081225;0.7856091829411087;0.00581690023691261
24;SAMME.R;DecisionTreeClassifier(max_depth=1);1.0;50;42;0.7207269285879;0.05606897704537787;0.7758781103311244;0.007728822282023447
26;SAMME.R;DecisionTreeClassifier(max_depth=1);1.0;200;42;0.7201366062948058;0.057920448138340394;0.7945484908894371;0.006305777401649278
23;SAMME.R;DecisionTreeClassifier(max_depth=1);0.5;200;42;0.7182722678260213;0.06410320940049918;0.781310906916205;0.006154323666611225
6;SAMME;DecisionTreeClassifier(max_depth=1);1.0;50;42;0.7182213023022161;0.05612001987723772;0.7617431880722141;0.012578869118105915
22;SAMME.R;DecisionTreeClassifier(max_depth=1);0.5;100;42;0.7178592717451192;0.05766057401229539;0.7684431872162513;0.008376603718039183
20;SAMME.R;DecisionTreeClassifier(max_depth=1);0.1;200;42;0.7058659523954319;0.0626473389538322;0.7457001638400806;0.01166546383288176
21;SAMME.R;DecisionTreeClassifier(max_depth=1);0.5;50;42;0.7052178948691876;0.062453674941800215;0.7563101837415566;0.011393921897552187
5;SAMME;DecisionTreeClassifier(max_depth=1);0.5;200;42;0.7014275557379104;0.059469543364306085;0.7444840205167825;0.017927277514353898
19;SAMME.R;DecisionTreeClassifier(max_depth=1);0.1;100;42;0.6932634349051039;0.06713188415125154;0.73111205647635;0.014257155285012731
4;SAMME;DecisionTreeClassifier(max_depth=1);0.5;100;42;0.6831487232452348;0.05677464641401213;0.7304056377231941;0.024781435452868896
18;SAMME.R;DecisionTreeClassifier(max_depth=1);0.1;50;42;0.6758552653740788;0.05482223150825011;0.7071047117629353;0.01459288330990967
3;SAMME;DecisionTreeClassifier(max_depth=1);0.5;50;42;0.6688792131628047;0.05152992347724896;0.7117278141058517;0.02674231640510853
11;SAMME;LogisticRegression();0.1;200;42;0.6469156676782357;0.08275154450939641;0.702917418686796;0.015707077167044867
35;SAMME.R;LogisticRegression();1.0;200;42;0.6460478570721533;0.060576065837694586;0.6979192223503656;0.011252174699211137
17;SAMME;LogisticRegression();1.0;200;42;0.6431578741588888;0.06670879395872262;0.6702120941113341;0.015757711543932056
16;SAMME;LogisticRegression();1.0;100;42;0.6431578741588888;0.06670879395872262;0.6702120941113341;0.015757711543932056
15;SAMME;LogisticRegression();1.0;50;42;0.6431578741588888;0.06670879395872262;0.6702120941113341;0.015757711543932056
10;SAMME;LogisticRegression();0.1;100;42;0.639532546808406;0.07859969964376269;0.6973177914437967;0.012315057100624931
34;SAMME.R;LogisticRegression();1.0;100;42;0.6254857636059657;0.06753748247896782;0.6731786683788753;0.013399556826350233
32;SAMME.R;LogisticRegression();0.5;200;42;0.6254857636059657;0.06753748247896782;0.673111644250189;0.013485911532639637
2;SAMME;DecisionTreeClassifier(max_depth=1);0.1;200;42;0.6232120936576058;0.06352584341379561;0.6610988718172738;0.013638158262621838
12;SAMME;LogisticRegression();0.5;50;42;0.6217065387034444;0.061990339835933106;0.6862406017009308;0.01847398650910181
13;SAMME;LogisticRegression();0.5;100;42;0.6217065387034444;0.061990339835933106;0.6862406017009308;0.01847398650910181
14;SAMME;LogisticRegression();0.5;200;42;0.6217065387034444;0.061990339835933106;0.6862406017009308;0.01847398650910181
31;SAMME.R;LogisticRegression();0.5;100;42;0.6172871208293478;0.06870405680422485;0.6583552217380814;0.014200744515078868
33;SAMME.R;LogisticRegression();1.0;50;42;0.6172871208293478;0.06870405680422485;0.658296011185824;0.01419246213974214
1;SAMME;DecisionTreeClassifier(max_depth=1);0.1;100;42;0.606834938108397;0.06626853676994887;0.6392156980184905;0.012157982831079477
30;SAMME.R;LogisticRegression();0.5;50;42;0.605159947887287;0.07314842473652;0.6455443906140936;0.0143243477549659
29;SAMME.R;LogisticRegression();0.1;200;42;0.6024308955933466;0.07551469352766801;0.6409204262307784;0.013985407953188462
9;SAMME;LogisticRegression();0.1;50;42;0.59980175236192;0.07444589990460025;0.6571725808623466;0.01872813399669206
0;SAMME;DecisionTreeClassifier(max_depth=1);0.1;50;42;0.5973250438073437;0.06189443403990953;0.6293067583827769;0.017797230764845063
28;SAMME.R;LogisticRegression();0.1;100;42;0.5897803702899165;0.07321890261902349;0.6295274810487261;0.013161468796879482
27;SAMME.R;LogisticRegression();0.1;50;42;0.5723213186046481;0.06418738662796641;0.6098626985720151;0.013837483432054707
