;param_bootstrap;param_class_weight;param_criterion;param_max_depth;param_max_features;param_min_samples_leaf;param_min_samples_split;param_n_estimators;mean_test_score;std_test_score;mean_train_score;std_train_score
555;True;balanced;gini;;log2;2;10;100;0.7783206656200478;0.060151621616515646;0.9049680649500964;0.0030407405917467507
1751;False;balanced;entropy;;sqrt;4;5;300;0.7779481011982445;0.058107547557728574;0.9403230386150838;0.003217601531439628
1724;False;balanced;entropy;;auto;4;5;300;0.7779481011982445;0.058107547557728574;0.9403230386150838;0.003217601531439628
1748;False;balanced;entropy;;sqrt;4;2;300;0.7779481011982445;0.058107547557728574;0.9403230386150838;0.003217601531439628
1721;False;balanced;entropy;;auto;4;2;300;0.7779481011982445;0.058107547557728574;0.9403230386150838;0.003217601531439628
1535;False;balanced;gini;;log2;4;5;300;0.7773856995538264;0.05755363998430745;0.9268248835329167;0.0037400518293421794
1532;False;balanced;gini;;log2;4;2;300;0.7773856995538264;0.05755363998430745;0.9268248835329167;0.0037400518293421794
790;True;balanced;entropy;;log2;1;10;200;0.7769939873669978;0.05241756048700285;0.9373442032027344;0.0025450750243081787
755;True;balanced;entropy;;auto;4;10;300;0.7768025868656504;0.05739912247646681;0.8876890130021822;0.0032833186886266187
782;True;balanced;entropy;;sqrt;4;10;300;0.7768025868656504;0.05739912247646681;0.8876890130021822;0.0032833186886266187
791;True;balanced;entropy;;log2;1;10;300;0.7766403094107549;0.05371927342966987;0.93782954269477;0.001459896198138568
762;True;balanced;entropy;;sqrt;1;10;100;0.7764589187976109;0.05511754192321458;0.9381597746716899;0.0022211365025440245
735;True;balanced;entropy;;auto;1;10;100;0.7764589187976109;0.05511754192321458;0.9381597746716899;0.0022211365025440245
533;True;balanced;gini;;sqrt;4;2;300;0.7763671221501447;0.061657138966451856;0.8905129520646369;0.003139196135127332
536;True;balanced;gini;;sqrt;4;5;300;0.7763671221501447;0.061657138966451856;0.8905129520646369;0.003139196135127332
509;True;balanced;gini;;auto;4;5;300;0.7763671221501447;0.061657138966451856;0.8905129520646369;0.003139196135127332
506;True;balanced;gini;;auto;4;2;300;0.7763671221501447;0.061657138966451856;0.8905129520646369;0.003139196135127332
1781;False;balanced;entropy;;log2;4;10;300;0.7762920668058373;0.0606870007501269;0.924637693845008;0.0033555595870869547
769;True;balanced;entropy;;sqrt;2;5;200;0.776250952298313;0.053538824748769726;0.9448191870779119;0.002256007801145804
742;True;balanced;entropy;;auto;2;5;200;0.776250952298313;0.053538824748769726;0.9448191870779119;0.002256007801145804
1531;False;balanced;gini;;log2;4;2;200;0.7760800242805304;0.058973446910300736;0.926568903229622;0.00269577988495157
1534;False;balanced;gini;;log2;4;5;200;0.7760800242805304;0.058973446910300736;0.926568903229622;0.00269577988495157
772;True;balanced;entropy;;sqrt;2;10;200;0.7758692728540891;0.058660905106443256;0.916999457957998;0.0030879698888178456
745;True;balanced;entropy;;auto;2;10;200;0.7758692728540891;0.058660905106443256;0.916999457957998;0.0030879698888178456
539;True;balanced;gini;;sqrt;4;10;300;0.7757807742081428;0.05826094246036434;0.8855384761941748;0.0028736820186544432
512;True;balanced;gini;;auto;4;10;300;0.7757807742081428;0.05826094246036434;0.8855384761941748;0.0028736820186544432
557;True;balanced;gini;;log2;2;10;300;0.7756349258783359;0.0604626487203607;0.9074938909996778;0.002709571060172311
736;True;balanced;entropy;;auto;1;10;200;0.7756257754966742;0.059084664956836105;0.939010544266141;0.0017607627787367035
763;True;balanced;entropy;;sqrt;1;10;200;0.7756257754966742;0.059084664956836105;0.939010544266141;0.0017607627787367035
537;True;balanced;gini;;sqrt;4;10;100;0.7749478789972061;0.06008720380501361;0.8850534738198801;0.0044725628683003026
