;param_alpha;param_class_weight;param_eta0;param_fit_intercept;param_l1_ratio;param_learning_rate;param_loss;param_max_iter;param_penalty;param_tol;mean_test_score;std_test_score;mean_train_score;std_train_score
7172;0.001;balanced;1.0;True;0.15;optimal;hinge;2000;l1;0.0001;0.7035094602691137;0.05136993145609258;0.7152586341294592;0.02977312386910323
6518;0.001;balanced;0.1;True;0.15;optimal;hinge;1000;l1;0.0001;0.7035094602691137;0.05136993145609258;0.7152586341294592;0.02977312386910323
6735;0.001;balanced;0.1;True;0.5;optimal;hinge;1000;l1;0.001;0.7035094602691137;0.05136993145609258;0.7152586341294592;0.02977312386910323
6740;0.001;balanced;0.1;True;0.5;optimal;hinge;2000;l1;0.0001;0.7035094602691137;0.05136993145609258;0.7152586341294592;0.02977312386910323
6741;0.001;balanced;0.1;True;0.5;optimal;hinge;2000;l1;0.001;0.7035094602691137;0.05136993145609258;0.7152586341294592;0.02977312386910323
6093;0.001;balanced;0.01;True;0.5;optimal;hinge;2000;l1;0.001;0.7035094602691137;0.05136993145609258;0.7152586341294592;0.02977312386910323
6087;0.001;balanced;0.01;True;0.5;optimal;hinge;1000;l1;0.001;0.7035094602691137;0.05136993145609258;0.7152586341294592;0.02977312386910323
6086;0.001;balanced;0.01;True;0.5;optimal;hinge;1000;l1;0.0001;0.7035094602691137;0.05136993145609258;0.7152586341294592;0.02977312386910323
5985;0.001;balanced;0.01;True;0.3;optimal;hinge;2000;l1;0.001;0.7035094602691137;0.05136993145609258;0.7152586341294592;0.02977312386910323
5984;0.001;balanced;0.01;True;0.3;optimal;hinge;2000;l1;0.0001;0.7035094602691137;0.05136993145609258;0.7152586341294592;0.02977312386910323
5979;0.001;balanced;0.01;True;0.3;optimal;hinge;1000;l1;0.001;0.7035094602691137;0.05136993145609258;0.7152586341294592;0.02977312386910323
5978;0.001;balanced;0.01;True;0.3;optimal;hinge;1000;l1;0.0001;0.7035094602691137;0.05136993145609258;0.7152586341294592;0.02977312386910323
7389;0.001;balanced;1.0;True;0.5;optimal;hinge;2000;l1;0.001;0.7035094602691137;0.05136993145609258;0.7152586341294592;0.02977312386910323
7388;0.001;balanced;1.0;True;0.5;optimal;hinge;2000;l1;0.0001;0.7035094602691137;0.05136993145609258;0.7152586341294592;0.02977312386910323
