;param_criterion;param_max_depth;param_min_samples_leaf;param_min_samples_split;mean_test_score;std_test_score;mean_train_score;std_train_score
32;gini;20;3;10;0.7307185146396312;0.07069017440775682;0.8978700703322098;0.006369749840742495
24;gini;10;5;2;0.7303858584733247;0.06067427511813865;0.8356225268701006;0.010299915117452233
26;gini;10;5;10;0.7303858584733247;0.06067427511813865;0.8356225268701006;0.010299915117452233
25;gini;10;5;5;0.7303858584733247;0.06067427511813865;0.8356225268701006;0.010299915117452233
64;entropy;20;1;5;0.7301401938606403;0.05355142644951099;0.9603301444198398;0.005468680808494204
5;gini;;3;10;0.7298583332492244;0.06968130021082743;0.8984922778959333;0.006552365280556416
6;gini;;5;2;0.7280301007933903;0.06875263527905145;0.8778938122883165;0.006569001345218797
7;gini;;5;5;0.7280301007933903;0.06875263527905145;0.8778938122883165;0.006569001345218797
8;gini;;5;10;0.7280301007933903;0.06875263527905145;0.8778938122883165;0.006569001345218797
35;gini;20;5;10;0.7277568767496745;0.06838743673501144;0.8778938122883165;0.006569001345218797
33;gini;20;5;2;0.7277568767496745;0.06838743673501144;0.8778938122883165;0.006569001345218797
34;gini;20;5;5;0.7277568767496745;0.06838743673501144;0.8778938122883165;0.006569001345218797
23;gini;10;3;10;0.7273034094911865;0.05871434594260382;0.842663643964535;0.010717416313222447
71;entropy;20;5;10;0.725135551433439;0.0414888922984142;0.8810648098545594;0.0060138470644701065
69;entropy;20;5;2;0.725135551433439;0.0414888922984142;0.8810648098545594;0.0060138470644701065
70;entropy;20;5;5;0.725135551433439;0.0414888922984142;0.8810648098545594;0.0060138470644701065
41;entropy;;3;10;0.7250350189421576;0.04554631758668098;0.9042154044556335;0.004804478527283833
4;gini;;3;5;0.7250233913413923;0.06977033603718479;0.9169107388780112;0.004177430319444433
3;gini;;3;2;0.7250233913413923;0.06977033603718479;0.9169107388780112;0.004177430319444433
68;entropy;20;3;10;0.7248834622891602;0.041982419777466536;0.9026240316850057;0.00442445726758434
21;gini;10;3;2;0.7247820945098955;0.05975963670901401;0.8506404070344988;0.009962084999673068
22;gini;10;3;5;0.7247820945098955;0.05975963670901401;0.8506404070344988;0.009962084999673068
37;entropy;;1;5;0.7239224446963994;0.04348708238129044;0.9679207020459512;0.0018355104825861508
31;gini;20;3;5;0.7234042586284493;0.06787903457668981;0.9163157662516144;0.0041830978758680155
30;gini;20;3;2;0.7234042586284493;0.06787903457668981;0.9163157662516144;0.0041830978758680155
36;entropy;;1;2;0.722625103893049;0.04611004908955327;0.995950635832403;0.0003045478673218769
59;entropy;10;3;10;0.7220790304626795;0.05176633423131357;0.826556941738748;0.009124849950660147
61;entropy;10;5;5;0.7216963131812879;0.047555382066297516;0.8226889414352737;0.009519151607872058
62;entropy;10;5;10;0.7216963131812879;0.047555382066297516;0.8226889414352737;0.009519151607872058
60;entropy;10;5;2;0.7216963131812879;0.047555382066297516;0.8226889414352737;0.009519151607872058
44;entropy;;5;10;0.721523959547565;0.044392194651921235;0.8817588462031123;0.0071628385826639765
43;entropy;;5;5;0.721523959547565;0.044392194651921235;0.8817588462031123;0.0071628385826639765
42;entropy;;5;2;0.721523959547565;0.044392194651921235;0.8817588462031123;0.0071628385826639765
65;entropy;20;1;10;0.7214616189293511;0.043637381429921136;0.9211981537978519;0.004129930991627889
28;gini;20;1;5;0.721306487473745;0.05870696360187974;0.9592662771895654;0.00324797428207917
63;entropy;20;1;2;0.7209619711029165;0.05812672874290274;0.9843352277325685;0.006785597038817653
54;entropy;10;1;2;0.7198201881954877;0.05702520853198142;0.8430471615368594;0.010776533643081038
