;param_activation;param_alpha;param_early_stopping;param_hidden_layer_sizes;param_learning_rate;param_max_iter;param_solver;mean_test_score;std_test_score;mean_train_score;std_train_score
273;logistic;0.0001;False;(50, 50);adaptive;500;adam;0.7652946370074228;0.03571271161120433;0.9063181008880596;0.045882093729871516
267;logistic;0.0001;False;(50, 50);constant;500;adam;0.7652946370074228;0.03571271161120433;0.9063181008880596;0.045882093729871516
269;logistic;0.0001;False;(50, 50);constant;1000;adam;0.7639123833899955;0.03725316125331951;0.9060830601770938;0.04581216730383358
275;logistic;0.0001;False;(50, 50);adaptive;1000;adam;0.7639123833899955;0.03725316125331951;0.9060830601770938;0.04581216730383358
47;relu;0.0001;False;(100,);adaptive;1000;adam;0.7624134517414946;0.05119303645785295;0.8495135942148595;0.018805482777210968
41;relu;0.0001;False;(100,);constant;1000;adam;0.7624134517414946;0.05119303645785295;0.8495135942148595;0.018805482777210968
39;relu;0.0001;False;(100,);constant;500;adam;0.7624134517414946;0.05119303645785295;0.8495135942148595;0.018805482777210968
45;relu;0.0001;False;(100,);adaptive;500;adam;0.7624134517414946;0.05119303645785295;0.8495135942148595;0.018805482777210968
255;logistic;0.0001;False;(100,);constant;500;adam;0.7609817764986269;0.040630019916262534;0.8844386767807488;0.033146268815250735
261;logistic;0.0001;False;(100,);adaptive;500;adam;0.7609817764986269;0.040630019916262534;0.8844386767807488;0.033146268815250735
257;logistic;0.0001;False;(100,);constant;1000;adam;0.7606661821066689;0.032676208204146406;0.908688261461417;0.047999460453073586
263;logistic;0.0001;False;(100,);adaptive;1000;adam;0.7606661821066689;0.032676208204146406;0.908688261461417;0.047999460453073586
37;relu;0.0001;False;(100,);constant;200;adam;0.7605817474623372;0.04995146940576487;0.8415961535704397;0.02081452518232846
43;relu;0.0001;False;(100,);adaptive;200;adam;0.7605817474623372;0.04995146940576487;0.8415961535704397;0.02081452518232846
119;relu;0.001;False;(100,);adaptive;1000;adam;0.7576068496009936;0.05790391361313779;0.8430897684774965;0.0292710821872509
113;relu;0.001;False;(100,);constant;1000;adam;0.7576068496009936;0.05790391361313779;0.8430897684774965;0.0292710821872509
117;relu;0.001;False;(100,);adaptive;500;adam;0.7576068496009936;0.05790391361313779;0.8430897684774965;0.0292710821872509
111;relu;0.001;False;(100,);constant;500;adam;0.7576068496009936;0.05790391361313779;0.8430897684774965;0.0292710821872509
181;relu;0.01;False;(100,);constant;200;adam;0.757128426121523;0.060902461422699915;0.8360614191507455;0.028336763556396728
187;relu;0.01;False;(100,);adaptive;200;adam;0.757128426121523;0.060902461422699915;0.8360614191507455;0.028336763556396728
