;param_class_weight;param_criterion;param_max_depth;param_max_features;param_min_samples_leaf;param_min_samples_split;param_splitter;mean_test_score;std_test_score;mean_train_score;std_train_score
634;balanced;gini;20;log2;1;10;best;0.7564629046915847;0.04832437464533008;0.8926416133936671;0.005019975440499731
244;;entropy;;sqrt;2;10;best;0.7557044804941202;0.037160745860608364;0.8807377396102437;0.008741623030057828
226;;entropy;;auto;2;10;best;0.7557044804941202;0.037160745860608364;0.8807377396102437;0.008741623030057828
156;;gini;10;log2;4;2;best;0.7553752200620711;0.04053002975226112;0.8272906559410556;0.01359364031385854
158;;gini;10;log2;4;5;best;0.7553752200620711;0.04053002975226112;0.8272906559410556;0.01359364031385854
134;;gini;10;sqrt;2;5;best;0.7542699686344989;0.0405295957156093;0.8444407536497657;0.014095987779689994
116;;gini;10;auto;2;5;best;0.7542699686344989;0.0405295957156093;0.8444407536497657;0.014095987779689994
760;balanced;entropy;10;auto;1;10;best;0.7522843770991882;0.04676548877887262;0.8394319341194809;0.009508480122554439
778;balanced;entropy;10;sqrt;1;10;best;0.7522843770991882;0.04676548877887262;0.8394319341194809;0.009508480122554439
26;;gini;;sqrt;2;5;best;0.751873178220469;0.04612293605569586;0.9051024728659085;0.005731720704833567
8;;gini;;auto;2;5;best;0.751873178220469;0.04612293605569586;0.9051024728659085;0.005731720704833567
128;;gini;10;sqrt;1;5;best;0.7508097516017592;0.037524733627019614;0.8497671682713783;0.012062095210084557
110;;gini;10;auto;1;5;best;0.7508097516017592;0.037524733627019614;0.8497671682713783;0.012062095210084557
548;balanced;gini;10;auto;2;5;best;0.7507838479494555;0.05975952135986249;0.8471890480840155;0.010037526836497428
566;balanced;gini;10;sqrt;2;5;best;0.7507838479494555;0.05975952135986249;0.8471890480840155;0.010037526836497428
562;balanced;gini;10;sqrt;1;10;best;0.7507101324160208;0.06137275209669538;0.8439916927245591;0.008992147476454769
544;balanced;gini;10;auto;1;10;best;0.7507101324160208;0.06137275209669538;0.8439916927245591;0.008992147476454769
