;param_C;param_class_weight;param_coef0;param_degree;param_gamma;param_kernel;param_probability;param_shrinking;param_tol;mean_test_score;std_test_score;mean_train_score;std_train_score
2098;1;balanced;0.5;4;auto;rbf;True;False;0.001;0.696403065475023;0.0737506646192995;0.8783293219524249;0.0034896182355293715
1841;1;balanced;0.0;3;auto;rbf;True;True;0.0001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
2103;1;balanced;0.5;4;auto;rbf;False;False;0.0001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
1847;1;balanced;0.0;3;auto;rbf;False;False;0.0001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
1846;1;balanced;0.0;3;auto;rbf;False;False;0.001;0.696403065475023;0.0737506646192995;0.8783293219524249;0.0034896182355293715
1845;1;balanced;0.0;3;auto;rbf;False;True;0.0001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
1844;1;balanced;0.0;3;auto;rbf;False;True;0.001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
1843;1;balanced;0.0;3;auto;rbf;True;False;0.0001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
1842;1;balanced;0.0;3;auto;rbf;True;False;0.001;0.696403065475023;0.0737506646192995;0.8783293219524249;0.0034896182355293715
1840;1;balanced;0.0;3;auto;rbf;True;True;0.001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
2101;1;balanced;0.5;4;auto;rbf;False;True;0.0001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
1904;1;balanced;0.0;4;auto;rbf;True;True;0.001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
1905;1;balanced;0.0;4;auto;rbf;True;True;0.0001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
1906;1;balanced;0.0;4;auto;rbf;True;False;0.001;0.696403065475023;0.0737506646192995;0.8783293219524249;0.0034896182355293715
2160;1;balanced;1.0;2;auto;rbf;True;True;0.001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
1907;1;balanced;0.0;4;auto;rbf;True;False;0.0001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
1975;1;balanced;0.5;2;auto;rbf;False;False;0.0001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
2162;1;balanced;1.0;2;auto;rbf;True;False;0.001;0.696403065475023;0.0737506646192995;0.8783293219524249;0.0034896182355293715
2102;1;balanced;0.5;4;auto;rbf;False;False;0.001;0.696403065475023;0.0737506646192995;0.8783293219524249;0.0034896182355293715
2100;1;balanced;0.5;4;auto;rbf;False;True;0.001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
2164;1;balanced;1.0;2;auto;rbf;False;True;0.001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
2034;1;balanced;0.5;3;auto;rbf;True;False;0.001;0.696403065475023;0.0737506646192995;0.8783293219524249;0.0034896182355293715
1973;1;balanced;0.5;2;auto;rbf;False;True;0.0001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
1972;1;balanced;0.5;2;auto;rbf;False;True;0.001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
1971;1;balanced;0.5;2;auto;rbf;True;False;0.0001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
2032;1;balanced;0.5;3;auto;rbf;True;True;0.001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
1970;1;balanced;0.5;2;auto;rbf;True;False;0.001;0.696403065475023;0.0737506646192995;0.8783293219524249;0.0034896182355293715
1969;1;balanced;0.5;2;auto;rbf;True;True;0.0001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
2033;1;balanced;0.5;3;auto;rbf;True;True;0.0001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
2035;1;balanced;0.5;3;auto;rbf;True;False;0.0001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
2099;1;balanced;0.5;4;auto;rbf;True;False;0.0001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
2036;1;balanced;0.5;3;auto;rbf;False;True;0.001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
2037;1;balanced;0.5;3;auto;rbf;False;True;0.0001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
2038;1;balanced;0.5;3;auto;rbf;False;False;0.001;0.696403065475023;0.0737506646192995;0.8783293219524249;0.0034896182355293715
2039;1;balanced;0.5;3;auto;rbf;False;False;0.0001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
2096;1;balanced;0.5;4;auto;rbf;True;True;0.001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
2097;1;balanced;0.5;4;auto;rbf;True;True;0.0001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
1968;1;balanced;0.5;2;auto;rbf;True;True;0.001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
2163;1;balanced;1.0;2;auto;rbf;True;False;0.0001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
2161;1;balanced;1.0;2;auto;rbf;True;True;0.0001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
2165;1;balanced;1.0;2;auto;rbf;False;True;0.0001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
2231;1;balanced;1.0;3;auto;rbf;False;False;0.0001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
2289;1;balanced;1.0;4;auto;rbf;True;True;0.0001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
2166;1;balanced;1.0;2;auto;rbf;False;False;0.001;0.696403065475023;0.0737506646192995;0.8783293219524249;0.0034896182355293715
2291;1;balanced;1.0;4;auto;rbf;True;False;0.0001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
2292;1;balanced;1.0;4;auto;rbf;False;True;0.001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
2293;1;balanced;1.0;4;auto;rbf;False;True;0.0001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
2294;1;balanced;1.0;4;auto;rbf;False;False;0.001;0.696403065475023;0.0737506646192995;0.8783293219524249;0.0034896182355293715
2295;1;balanced;1.0;4;auto;rbf;False;False;0.0001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
1908;1;balanced;0.0;4;auto;rbf;False;True;0.001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
1909;1;balanced;0.0;4;auto;rbf;False;True;0.0001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
1776;1;balanced;0.0;2;auto;rbf;True;True;0.001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
1777;1;balanced;0.0;2;auto;rbf;True;True;0.0001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
1778;1;balanced;0.0;2;auto;rbf;True;False;0.001;0.696403065475023;0.0737506646192995;0.8783293219524249;0.0034896182355293715
1779;1;balanced;0.0;2;auto;rbf;True;False;0.0001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
1780;1;balanced;0.0;2;auto;rbf;False;True;0.001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
1781;1;balanced;0.0;2;auto;rbf;False;True;0.0001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
1782;1;balanced;0.0;2;auto;rbf;False;False;0.001;0.696403065475023;0.0737506646192995;0.8783293219524249;0.0034896182355293715
1783;1;balanced;0.0;2;auto;rbf;False;False;0.0001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
1910;1;balanced;0.0;4;auto;rbf;False;False;0.001;0.696403065475023;0.0737506646192995;0.8783293219524249;0.0034896182355293715
1911;1;balanced;0.0;4;auto;rbf;False;False;0.0001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
2288;1;balanced;1.0;4;auto;rbf;True;True;0.001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
2290;1;balanced;1.0;4;auto;rbf;True;False;0.001;0.696403065475023;0.0737506646192995;0.8783293219524249;0.0034896182355293715
2230;1;balanced;1.0;3;auto;rbf;False;False;0.001;0.696403065475023;0.0737506646192995;0.8783293219524249;0.0034896182355293715
2225;1;balanced;1.0;3;auto;rbf;True;True;0.0001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
2167;1;balanced;1.0;2;auto;rbf;False;False;0.0001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
2229;1;balanced;1.0;3;auto;rbf;False;True;0.0001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
2224;1;balanced;1.0;3;auto;rbf;True;True;0.001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
1974;1;balanced;0.5;2;auto;rbf;False;False;0.001;0.696403065475023;0.0737506646192995;0.8783293219524249;0.0034896182355293715
2228;1;balanced;1.0;3;auto;rbf;False;True;0.001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
2226;1;balanced;1.0;3;auto;rbf;True;False;0.001;0.696403065475023;0.0737506646192995;0.8783293219524249;0.0034896182355293715
2227;1;balanced;1.0;3;auto;rbf;True;False;0.0001;0.696403065475023;0.0737506646192995;0.8783062870968743;0.0034314141087874238
3340;10;balanced;1.0;3;scale;poly;False;True;0.001;0.6960893528546871;0.08284865801888168;0.7714043828780357;0.004898219575079011
3336;10;balanced;1.0;3;scale;poly;True;True;0.001;0.6960893528546871;0.08284865801888168;0.7714043828780357;0.004898219575079011
3341;10;balanced;1.0;3;scale;poly;False;True;0.0001;0.6960893528546871;0.08284865801888168;0.7714043828780357;0.004898219575079011
3337;10;balanced;1.0;3;scale;poly;True;True;0.0001;0.6960893528546871;0.08284865801888168;0.7714043828780357;0.004898219575079011
3277;10;balanced;1.0;2;scale;poly;False;True;0.0001;0.6926034406723585;0.07465232319881197;0.7467648224194358;0.005609063742164066
3273;10;balanced;1.0;2;scale;poly;True;True;0.0001;0.6926034406723585;0.07465232319881197;0.7467648224194358;0.005609063742164066
3274;10;balanced;1.0;2;scale;poly;True;False;0.001;0.6913180376222494;0.07515361639261223;0.7465144700433112;0.005454385110936718
3278;10;balanced;1.0;2;scale;poly;False;False;0.001;0.6913180376222494;0.07515361639261223;0.7465144700433112;0.005454385110936718
3275;10;balanced;1.0;2;scale;poly;True;False;0.0001;0.6913180376222494;0.07515361639261223;0.7465144700433112;0.005454385110936718
3279;10;balanced;1.0;2;scale;poly;False;False;0.0001;0.6913180376222494;0.07515361639261223;0.7465144700433112;0.005454385110936718
3276;10;balanced;1.0;2;scale;poly;False;True;0.001;0.6911328524370642;0.07526993969151972;0.7465528753395916;0.005685420434478506
3272;10;balanced;1.0;2;scale;poly;True;True;0.001;0.6911328524370642;0.07526993969151972;0.7465528753395916;0.005685420434478506
3086;10;balanced;0.5;2;scale;poly;False;False;0.001;0.6892372932697871;0.07359687742274294;0.7412266894519387;0.0054605155030170395
3082;10;balanced;0.5;2;scale;poly;True;False;0.001;0.6892372932697871;0.07359687742274294;0.7412266894519387;0.0054605155030170395
3083;10;balanced;0.5;2;scale;poly;True;False;0.0001;0.6892372932697871;0.07359687742274294;0.7412266894519387;0.0054605155030170395
